# Kepler Asteroseismic Data
# KASOC Corrected data, by Rasmus Handberg
# Created on 2016-03-03
# KIC:       4671239
# KOI:       0
# Version:   1 (Q1-Q15)
# Unique ID: 13706956
# Periods:   None
# 
# Column 1: Time (truncated barycentric julian date)
# Column 2: Relative flux (ppm)
# Column 3: Flux error (ppm)
#---------------------------
  54964.51222513  -1.0594559299726968e+03   4.1370404753579788e+02
  54964.53265982  -9.1147005018987761e+02   4.1756142635010269e+02
  54964.55309442  -7.5215060350097838e+02   4.1835886770149244e+02
  54964.57352891  -4.6348953065999956e+02   4.1870062828065949e+02
  54964.59396350  -7.8990310519833076e+02   4.1887606994212518e+02
  54964.61439820  -5.0857020309769132e+02   4.1844076148799201e+02
  54964.63483269  -6.9419362615241732e+02   4.1813939409666892e+02
  54964.65526728  -5.3202209265901251e+02   4.1791839134303211e+02
  54964.67570198  -2.8737490422181543e+02   4.1762716671415552e+02
  54964.69613657  -4.2532358347979749e+02   4.1739725253346347e+02
  54964.71657106  -4.2173485475183179e+02   4.1726060255132285e+02
  54964.73700565  -6.0906857668219243e+02   4.1714771778346761e+02
  54964.75744035  -9.0697625719138307e+02   4.1715461508259892e+02
  54964.77787484  -5.6488403317522807e+02   4.1727190694159452e+02
  54964.79830943  -4.7519833848275186e+02   4.1726928811959550e+02
  54964.81874413  -7.2445483278682502e+02   4.1736404728472081e+02
  54964.83917862  -8.3820678050239292e+02   4.1749289991941981e+02
  54964.85961321  -5.3614968310011784e+02   4.1760702653872460e+02
  54964.88004780  -6.4590510471151936e+02   4.1771232400844633e+02
  54964.90048240  -8.3096399521764840e+02   4.1780682173768378e+02
  54964.92091699  -5.2276547651941564e+02   4.1789526671145040e+02
  54964.94135158  -4.0676200296685397e+02   4.1797548424579685e+02
  54964.96178617  -7.2779834362823863e+01   4.1807354287247705e+02
  54964.98222077  -3.6504986299046305e+02   4.1821107392635059e+02
  54965.00265536  -9.4056337514814015e+02   4.1837999706095161e+02
  54965.02308985  -9.5642070167556437e+02   4.1855458537869640e+02
  54965.04352454  -6.0210855340681042e+02   4.1871599721963025e+02
  54965.06395913  -8.1807838795089344e+02   4.1888320850629140e+02
  54965.08439363  -7.4786206250954115e+02   4.1907493053814420e+02
  54965.10482822  -9.1983980141185918e+02   4.1925365446614251e+02
  54965.12526291  -7.1042602431758974e+02   4.1942968617545108e+02
  54965.14569740  -5.3694130356629626e+02   4.1959454126829570e+02
  54965.16613199  -7.2525815080126677e+02   4.1972383587672289e+02
  54965.18656669  -9.0874076414759747e+02   4.1984541140404991e+02
  54965.20700128  -5.3455610043251500e+02   4.1995993907472035e+02
  54965.22743577  -5.3282736505377852e+02   4.2008352632371685e+02
  54965.24787036  -4.3143025010505818e+02   4.2015882694946288e+02
  54965.26830505  -6.2127555503022074e+02   4.2023011154183570e+02
  54965.28873954  -3.5588116339413386e+02   4.2027263805463753e+02
  54965.30917414  -5.0427659067575627e+02   4.2033743200675929e+02
  54965.32960883  -8.2186888775914736e+02   4.2037520855683209e+02
  54965.35004332  -8.8585710175603799e+02   4.2041116455027486e+02
  54965.37047791  -6.3689318565185454e+02   4.2044542849696745e+02
  54965.39091250  -2.7869932459245740e+02   4.2047811708978912e+02
  54965.41134709  -1.0338066017256952e+02   4.2050933653237155e+02
  54965.43178168  -4.5920950646571868e+02   4.2051448656445797e+02
  54965.45221627  -7.8192763238382759e+02   4.2049524908349974e+02
  54965.47265096  -1.3343972026671481e+03   4.2047682160173974e+02
  54965.49308545  -5.4194453429401437e+02   4.2045915401613479e+02
  54965.51352005  -8.1024414101826812e+02   4.2044220027237242e+02
  54965.53395454  -5.8681604441535023e+02   4.2044816983118301e+02
  54965.55438923  -2.3746563235194085e+02   4.2043082730491881e+02
  54965.57482382  -6.2582501390717744e+02   4.2041290898972511e+02
  54965.59525831  -5.5570233431345707e+02   4.2039566051809015e+02
  54965.61569300  -7.1385431652248860e+02   4.2037904501789131e+02
  54965.63612759  -1.0110723173956115e+03   4.2036302827445650e+02
  54965.65656218  -9.4457301436090552e+02   4.2034757849539091e+02
  54965.67699667  -8.2284460701276259e+02   4.2028034884233000e+02
  54965.69743136  -5.6108994450332352e+02   4.2017989998264528e+02
  54965.71786595  -6.2716688042818714e+02   4.2007075110460011e+02
  54965.73830044  -5.1145768603777509e+02   4.1996490457298870e+02
  54965.75873513  -1.0065629180505687e+03   4.1985870509114261e+02
  54965.77916972  -7.8681299256067041e+02   4.1975963838475820e+02
  54965.79960421  -3.9566436177107533e+02   4.1965634072416032e+02
  54965.82003880  -3.2697144173432503e+02   4.1955624609179807e+02
  54965.84047349  -4.4464413509792689e+02   4.1945143736464399e+02
  54965.86090798  -4.9250522094312907e+02   4.1933903595096035e+02
  54965.88134257  -9.4275376361285805e+02   4.1922691948827577e+02
  54965.90177726  -6.2690118997610341e+02   4.1911807649895428e+02
  54965.92221175  -7.6389678110877492e+02   4.1901119478553841e+02
  54965.94264634  -5.1474160337705575e+02   4.1890619088947903e+02
  54965.96308093  -1.0369712686473242e+03   4.1885594429673449e+02
  54965.98351562  -1.2474115809454345e+03   4.1875641447895418e+02
  54966.00395010  -8.4739157504820639e+02   4.1865336075580751e+02
  54966.02438469  -8.1962270554869485e+02   4.1854826391093309e+02
  54966.04481928  -2.4843479920122479e+02   4.1844788014313252e+02
  54966.06525387  -2.9039801986530114e+02   4.1835013805343192e+02
  54966.08568846  -6.2989546208602758e+02   4.1825863258470963e+02
  54966.10612305  -5.7047400518950303e+02   4.1817233015170245e+02
