frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,convergence,height,AIC,l,n
85.21978766648111,0.38450180170028553,0.00900158389110324,0.007260054301380525,0.1125519726631595,0.007631075427604424,0,5.227908192820237,7.8918519473554625,NA,NA
85.69977551505355,0.5428359588130406,NA,0.0022267606001307345,0.2867933418573547,NA,0,10.85635595388014,9.735656320262933,NA,NA
89.92113099674016,0.4512918649244879,0.029879280066563436,0.02138253991611957,0.11153294440472898,0.023312199602795194,0,2.1696766146743003,7.188977891240938,NA,NA
90.87812234131341,0.4296244898791507,0.004017141700834303,0.003275342066464642,0.17882707633824152,0.0049560481070046744,0,14.625510532845112,15.216339806782344,NA,NA
91.13936464971748,0.5027690305406547,NA,0.0026936030708500014,0.24832583484487897,NA,0,9.31287756716243,8.58513971208231,NA,NA
91.43017057105618,0.4017547083926367,0.002159947916542393,0.002268878231641469,0.22111751923402323,0.002464540607525399,0,23.786404429268863,7.405255817026045,NA,NA
91.94058230917483,0.718290447738891,0.029077987171502045,0.01257253589677709,0.11534860851701047,0.01394890161364066,0,5.647886604952701,45.95011522878849,NA,NA
92.21193855911089,0.7222434832269156,NA,0.0026115898570195925,0.38350137765317954,NA,0,19.21826248809348,24.462828566938697,NA,NA
92.42836664504641,0.2794002017013224,0.0027823540870013583,0.005043559708085977,0.1415235300148222,0.0027988149168773012,0,8.930816368643248,5.928790694404597,NA,NA
92.52177281198986,0.6689809643160495,0.005514462764738033,0.00396657962026926,0.18830930745502011,0.005103031549762135,0,25.832975920137656,57.56291144825809,NA,NA
92.72983388200537,0.7779502356866418,0.01293650581632524,0.006986839596302848,0.15166872402465012,0.007107244733210863,0,14.891442627281029,64.68213528497654,NA,NA
92.95133288292794,1.1967761712920804,0.009541701068864024,0.004755036045333056,0.2444393774421126,0.005181164003471353,0,47.78044473557679,173.5468975272488,NA,NA
93.02929150737776,0.7679894076354219,0.006715067694711318,0.0045130313392822,0.21107536079331857,0.005494674544298006,0,27.958263418690823,39.90216294964557,NA,NA
93.22345541578665,0.47622380618868226,0.009316905654427117,0.007478246694159974,0.12980825725235778,0.007228785811804952,0,7.748196623343115,14.292559330671793,NA,NA
93.36444691048989,0.4632300058144014,0.005001662336494073,0.004755548353474605,0.17823313253543274,0.008224733684253787,0,13.65617660468419,11.404720935704972,NA,NA
93.4273522549562,0.7266046484330255,0.003666343188071553,0.0029131992650929714,0.2986133697927101,0.004391542037605769,0,45.83670140435169,37.45253124169176,NA,NA
93.5174357462881,0.7713446925071719,0.01691187467684185,0.008750964009515099,0.15270037873811376,0.011015894959100134,0,11.198384285575685,43.08444540529308,NA,NA
93.70037425349142,0.9755743410654548,0.02513286477591239,0.00983299354786988,0.14652849358833067,0.011598231404696405,0,12.053935721658998,88.01696084870127,NA,NA
93.90357498257322,0.8322744920854074,0.009730817265228923,0.005925463447389896,0.18487706251409008,0.0066866060846383045,0,22.658647285761806,59.58035538841068,NA,NA
94.00409430154652,1.1125715294706238,0.005184166343417112,0.0033965890555342675,0.31776204616562037,0.00425459792015352,0,76.00236095768255,143.74559941516418,NA,NA
94.20963756884683,0.5079016310672485,0.019421899325183258,0.013632042506792787,0.1174564734841986,0.011925526337343605,0,4.227831242494556,11.182170715244865,NA,NA
94.4134919680172,0.9369791539549824,0.01667363087565302,0.007691578684349506,0.1593122523999889,0.00807260760653152,0,16.76022335831644,104.15224245216814,NA,NA
94.54100666184276,0.8719797568618768,0.002159947916542393,0.0018883100307070426,0.3950165620309949,0.0019262219735492409,0,112.05201067586655,56.485064405838784,NA,NA
94.73669214558888,0.7887530794819222,0.004428101736608804,0.003514306128830279,0.22271506538385408,0.003081615513477207,0,44.72132606602326,97.01001047001046,NA,NA
94.9557630850321,0.41192116931617256,0.002159947916542393,0.002232915589310986,0.2265191635826363,0.0024691496998759206,0,25.005472860681166,7.769571073717088,NA,NA
95.30841966632471,0.8907060577993191,NA,0.001430223953666611,0.3417854564291611,NA,0,29.229115203608167,35.75928220288188,NA,NA
96.30920204203953,0.4621846519843186,NA,0.0027315251962484943,0.2540277428167577,NA,0,7.870057330226948,6.011150999922393,NA,NA
96.72376653900984,0.38378491140562376,NA,0.004049936328589507,0.22609656688303442,NA,0,5.426535514778421,2.5200995316808985,NA,NA
97.72472589488055,0.3145746548735081,0.004386332494822035,0.006265058443220926,0.11838457818185744,0.0037353542554774684,0,7.181183688164247,6.715436670037889,NA,NA
97.91728578093536,0.42545059234383975,NA,0.0022541652711574917,0.22925470599324066,NA,0,6.668760526152771,2.3484926362325496,NA,NA
98.55898710209956,0.4854350190515937,0.016371175445261368,0.011251440146706941,0.10749364804147887,0.009354619784129771,0,4.581761413815541,15.92028601792481,NA,NA
98.83914089629927,0.466222220836969,NA,0.004720140979233049,0.26373124559754507,NA,0,8.008160976509053,7.295004215131485,NA,NA
99.16592781673852,0.4188284609351432,0.004095419207266782,0.0040024934837217694,0.15583163280301376,0.0047775195420213055,0,13.634026581087474,18.87855076255073,NA,NA
99.49349659597527,0.2939850463804316,0.0025088258500320674,0.003703969832933023,0.20942363374740222,0.0049326742988629645,0,10.965541741632489,3.2466510258709604,NA,NA
100.15422458166621,0.6829200817349053,NA,0.0017973788359738755,0.31207221303101607,NA,0,17.1825107479389,22.989012596932298,NA,NA
100.44221318058023,0.5034500268291838,NA,0.0018057895691705004,0.2081159932248137,NA,0,9.338123076686605,5.500311698397127,NA,NA
100.8152371023302,0.9814295014829735,0.005335675196843074,0.00331826494954823,0.2668701811986784,0.00372458037746723,0,57.4617647755177,154.4697603033128,NA,NA
101.49496964658894,0.821990355589119,0.0446947033472724,0.018010814184476982,0.1168465949422951,0.01920603573987854,0,4.812020980663136,52.83861536211407,NA,NA
101.72102093984168,0.6346020565971708,0.010004350502418356,0.005827843169076555,0.1472669071307131,0.007475438240463707,0,12.813393952683752,33.09988714121573,NA,NA
102.23869309978218,0.9657746305635672,0.022782190292689797,0.00975104900964762,0.16339325049420697,0.012759467141802129,0,13.031854971064947,67.78176136996262,NA,NA
102.35095192152842,1.0569321803893934,0.013615606805593547,0.006257814147251151,0.19717047635746743,0.008543186818944011,0,26.116042587942804,83.5863021301775,NA,NA
102.74804949818952,1.509498039884586,0.015337147011560076,0.0073835268254229735,0.2684070456220281,0.007978802168436458,0,47.290145876846545,108.26873698456984,NA,NA
