parameter,mean,sd,Q16,Q50,Q84
Pn,99.29783688055913,1.0533392940992192,98.25490587724146,99.28395341802172,100.35346411102765
A1,14748.13691830163,1948.05711944868,12821.82582851753,14617.277289086534,16663.95121812627
b1,1.0981699403698344,0.09317562414276043,1.006973802385981,1.0945508513409945,1.1895922208123941
A2,2283.437810213637,78.13554772481825,2206.450467053273,2282.4949469880653,2359.8474911889566
b2,22.148241727367306,0.6532265764252247,21.498843232312,22.145223965709178,22.787529748471048
A3,474.73421270790357,28.208426833010577,447.270030409742,474.30672353312286,502.61356117714615
b3,75.34666685791643,1.947130721561614,73.422859290705,75.3540717421276,77.2630149709192
Pg,980.171606054402,33.17880829193989,946.9224971108573,979.428313461319,1013.6540812465418
numax,82.91438121488622,0.2649317888372287,82.65313087277438,82.91703432593363,83.1785192901593
sigmaEnv,9.026915327100587,0.27542427624152915,8.750044928374699,9.027815200247044,9.298565204291883
lnprob,-198060.25736695612,2.262233614593049,-198062.42750426597,-198059.93939545096,-198058.08823504802
