  KIC   numax  e_numax   dnu e_dnu  dpi e_dpi  q e_q   eps_g e_eps_g    rot  e_rot
  2163121   35.60  0.51   4.02 0.04  330.15 0.47  0.28 0.04  -0.024 0.130    20   7
  2163597   32.60  0.51   4.08 0.04  325.34 0.32  0.27 0.04   0.148 0.103    25   7
  2163605   34.80  0.54   4.30 0.04  301.97 0.18  0.30 0.04   0.052 0.062    42  10
  2164327   44.70  0.59   4.68 0.04  236.12 0.12  0.22 0.03   0.088 0.052    30   7
  2164379  121.51  1.41  10.32 0.05   77.83 0.06  0.14 0.02   0.320 0.088   290  17
  2165615   37.29  0.53   4.16 0.04  241.41 0.14  0.25 0.03  -0.049 0.064    60  14
  2166766   45.00  0.58   4.58 0.04  328.11 0.33  0.25 0.03  -0.264 0.073    35   8
  2283721   79.78  1.01   7.85 0.04   66.37 0.04  0.15 0.02   0.255 0.098   970  26
  2285827  167.99  1.98  13.28 0.06   82.25 0.05  0.12 0.02   0.188 0.045   390  17
  2297785   48.10  0.60   4.69 0.04  289.55 0.19  0.24 0.03  -0.104 0.052    22   7
  2299926   41.07  0.57   4.47 0.04  304.87 0.30  0.26 0.03  -0.101 0.078    25   7
  2300853   34.80  0.52   4.09 0.04  312.22 0.26  0.28 0.03   0.090 0.082    40  10
  2301577   35.29  0.54   4.26 0.04  318.26 0.24  0.24 0.03  -0.140 0.070    50  12
  2303101  171.07  2.06  13.79 0.06   84.31 0.02  0.13 0.02   0.285 0.015   620  15
  2303367   34.20  0.51   4.05 0.04  308.70 0.15  0.28 0.03  -0.053 0.047    30   7
  2305145  107.26  1.17   8.36 0.05  213.27 0.56  0.23 0.03  -0.163 0.125    40  10
  2305479   79.08  0.97   7.49 0.04   68.71 0.02  0.14 0.02  -0.182 0.052   350  13
  2305992  100.65  1.18   8.94 0.04   74.52 0.05  0.11 0.02   0.204 0.100   600  21
  2308196   71.79  0.92   7.07 0.04   69.76 0.04  0.13 0.02   0.237 0.143   999 999
  2309550   48.90  0.64   5.02 0.04  313.07 0.28  0.27 0.03  -0.001 0.063    20   7
  2310129   51.70  0.65   5.07 0.04  313.35 0.42  0.25 0.03   0.019 0.089    20   7
  2422558  110.58  1.27   9.36 0.05   74.38 0.08  0.11 0.02   0.175 0.148   420  22
  2424934   33.30  0.49   3.90 0.03  328.41 0.19  0.29 0.03   0.077 0.055    30   7
  2436417   27.07  0.43   3.40 0.03  305.60 0.31  0.20 0.03  -0.058 0.133    50  12
  2436457  103.44  1.29   9.64 0.05   75.98 0.02  0.13 0.02   0.123 0.040   180  12
  2437325   93.64  1.17   8.53 0.05   75.16 0.04  0.15 0.03   0.236 0.082   999 999
  2437976   89.37  1.10   8.22 0.05   74.70 1.00  0.10 0.02  -0.006 0.095   320  30
  2438051   30.46  0.46   3.66 0.03  250.31 0.16  0.24 0.03  -0.124 0.087    30   7
  2438368   85.25  0.93   6.97 0.04  246.32 0.51  0.22 0.03  -0.187 0.106    40  10
  2441995   29.50  0.51   4.05 0.04  325.09 0.18  0.41 0.05  -0.023 0.060    60  13
  2442483   99.61  1.23   9.30 0.05   76.39 0.06  0.14 0.02   0.260 0.092   300  18
  2443903   66.76  0.90   7.01 0.04   71.10 0.02  0.12 0.02  -0.184 0.078   360   4
  2445947   32.33  0.51   4.06 0.04  290.24 0.21  0.28 0.04   0.086 0.080    30   7
  2447476   89.46  1.03   7.90 0.04   70.84 0.03  0.14 0.02   0.394 0.066   300  14
  2447604   54.11  0.63   4.94 0.04  294.48 0.34  0.28 0.03  -0.031 0.077    60  15
  2448679   38.04  0.54   4.30 0.04  325.45 0.17  0.26 0.03   0.023 0.043    50  12
  2449020   67.34  0.78   6.05 0.04  313.05 0.51  0.25 0.03  -0.093 0.083    35   8
  2449558   90.75  1.01   7.62 0.04   74.40 0.05  0.12 0.02   0.339 0.111   160  16
  2568912  129.30  1.57  11.39 0.05   80.38 0.02  0.15 0.02   0.329 0.027   999 999
  2570244  105.70  1.30   9.28 0.06   76.67 0.06  0.12 0.02   0.277 0.100   260  18
  2571668  187.60  2.52  14.72 0.09   85.05 0.02  0.17 0.02   0.274 0.016   280  12
  2572089   40.20  0.54   4.23 0.04  336.27 0.32  0.24 0.03  -0.051 0.075    30   7
  2573092   35.30  0.51   4.08 0.03  294.60 0.16  0.28 0.03  -0.231 0.055    60  13
  2574191   29.70  0.52   4.09 0.04  328.22 0.34  0.20 0.03   0.059 0.109    30   7
