  KIC   numax  e_numax   dnu e_dnu  dpi e_dpi  q e_q   eps_g e_eps_g    rot  e_rot
  3544887   30.50  0.49   3.85 0.04  330.89 0.21  0.35 0.04  -0.083 0.065    45  11
  3546046  178.90  2.07  14.04 0.06   82.59 0.12  0.13 0.02   0.288 0.105   360  25
  3546343   37.30  0.55   4.32 0.04  290.24 0.25  0.28 0.04   0.010 0.084    26   7
  3547041  104.60  1.20   9.03 0.04   74.65 0.04  0.11 0.02   0.256 0.082   400  16
  3547198   45.00  0.58   4.53 0.04  309.70 0.28  0.32 0.04  -0.123 0.069    32   8
  3547236  136.80  1.59  11.49 0.05   79.31 0.05  0.12 0.02   0.205 0.062   290  16
  3550605   36.40  0.53   4.16 0.04  255.82 0.16  0.21 0.03   0.030 0.070    30   7
  3555292   57.30  0.69   5.40 0.04  292.99 0.37  0.22 0.03   0.030 0.084    50  12
  3558848   54.30  0.66   5.14 0.04  253.88 0.42  0.26 0.03  -0.069 0.132    30   7
  3560093   83.10  0.93   7.10 0.04  291.66 0.96  0.22 0.02   0.072 0.140    80  20
  3628943  118.00  1.39  10.11 0.05   75.21 0.10  0.11 0.02   0.156 0.141   400  24
  3629335   29.20  0.52   4.14 0.04  310.90 0.20  0.36 0.04   0.070 0.074    30   7
  3631402   48.20  0.62   4.83 0.04  294.96 0.35  0.27 0.03  -0.085 0.089    30   7
  3631621   37.30  0.54   4.28 0.04  312.01 0.19  0.22 0.03  -0.137 0.056    30   7
  3631821   59.40  0.71   5.52 0.04  315.62 0.18  0.34 0.03  -0.051 0.031    20   7
  3632803  161.10  1.94  12.69 0.06   81.79 0.07  0.14 0.02   0.211 0.065   300  18
  3641504   97.30  1.18   8.91 0.04   74.09 0.04  0.14 0.02   0.026 0.079   490  17
  3642135   50.60  0.63   4.96 0.04  301.05 0.26  0.27 0.03   0.035 0.060    30   7
  3642837   88.40  1.06   8.06 0.04   73.41 0.04  0.12 0.02   0.299 0.102   710  21
  3645006   32.90  0.51   4.06 0.04  313.89 0.34  0.22 0.03  -0.081 0.110    70  17
  3744043  111.60  1.32   9.90 0.04   75.94 0.02  0.13 0.02   0.043 0.036   280  12
  3744681   61.94  0.71   5.50 0.04  291.06 0.41  0.18 0.02  -0.001 0.088   110  22
  3749487   69.98  0.84   6.55 0.04   68.00 0.02  0.12 0.02  -0.313 0.077   120  11
  3847667   32.40  0.51   4.02 0.04  311.10 0.23  0.35 0.04   0.012 0.077    35   8
  3954857   36.29  0.53   4.17 0.04  259.24 0.12  0.28 0.03   0.028 0.050    30   7
  3955033  106.10  1.24   9.23 0.05   74.65 0.06  0.13 0.02   0.207 0.115   765  10
  4066278  121.83  1.38  10.16 0.05   74.24 0.08  0.15 0.02   0.232 0.122   400  21
  4072740  261.13  3.16  18.45 0.07   88.81 0.27  0.14 0.02   0.257 0.132   310  40
  4253026   36.72  0.54   4.29 0.04  248.66 0.15  0.29 0.03   0.066 0.069    60  14
  4351319  385.27  5.64  24.48 0.10   97.41 0.15  0.20 0.02   0.333 0.039   260  24
  4448777  216.49  2.77  17.01 0.08   89.46 0.08  0.17 0.02   0.240 0.047   400  19
  4726049  234.51  3.12  18.03 0.09   88.89 0.07  0.18 0.02   0.284 0.036   500  18
  4770846   55.77  0.70   5.46 0.04  308.30 0.54  0.15 0.02  -0.012 0.118    65  16
  4952717  202.33  2.48  15.58 0.07   86.78 0.09  0.16 0.02   0.353 0.058   330  20
  5024476   68.66  0.75   5.73 0.04  299.60 1.00  0.27 0.03  -0.199 0.102    63   6
  5033245  425.32 17.47  26.82 0.36  111.68 0.18  0.18 0.03   0.426 0.034   200  25
  5112373   43.82  0.59   4.63 0.04  240.30 0.14  0.19 0.02  -0.246 0.058    37   3
  5200152   45.68  0.60   4.73 0.04  326.77 0.39  0.28 0.03   0.039 0.085    50  12
  5215820   83.54  1.00   7.72 0.04   68.88 0.03  0.14 0.02  -0.009 0.078   220  13
  5308777   85.79  1.02   7.78 0.04   70.34 0.02  0.12 0.02   0.240 0.063   460  14
  5380775   65.03  0.76   5.96 0.04   78.37 0.03  0.12 0.02   0.057 0.085   480  15
  5385518   56.66  0.68   5.31 0.04   79.90 0.03  0.12 0.02   0.197 0.105   380  14
  5393453  128.05  1.45  10.57 0.05   76.20 0.06  0.12 0.02   0.149 0.081   510  20
  5429842  190.39  2.78  15.25 0.10   86.17 0.10  0.16 0.03   0.295 0.075   760  31
  5515314  136.80  1.50  10.84 0.05   79.12 0.10  0.13 0.02   0.240 0.117   860  36
  5596656  275.01  4.49  20.85 0.13   95.76 0.12  0.20 0.03   0.252 0.051   300  22
  5637392   82.75  1.00   7.72 0.04   70.60 0.03  0.12 0.02   0.202 0.072   360  15
  5653970  112.48  1.28   9.50 0.04   73.28 0.06  0.12 0.02   0.153 0.110   540  21
  5694017  183.51  2.16  14.35 0.06   83.52 0.10  0.13 0.02   0.205 0.083   500  23
  5706531   72.39  0.91   7.01 0.04   67.66 0.03  0.12 0.02   0.208 0.088   120  13
  5858947  169.36  2.10  14.55 0.06   83.98 0.04  0.20 0.02   0.284 0.031   515  15
  5866737   66.49  0.84   6.54 0.04   66.23 0.03  0.12 0.02  -0.061 0.120   100  13
  5881316   74.86  0.94   7.28 0.04   71.94 0.03  0.12 0.02  -0.079 0.090   200  13
  6117517  118.29  1.36  10.16 0.04   76.71 0.04  0.12 0.02   0.291 0.065   420  16
  6144777  128.23  1.50  11.03 0.05   79.05 0.04  0.13 0.02   0.210 0.055   244   5
  6200178   78.07  0.91   6.99 0.04   76.14 0.03  0.12 0.02   0.036 0.074   360  14
  6273090  224.68  2.74  16.08 0.07   73.54 0.15  0.13 0.02   0.255 0.131   380  31
  6363338   39.50  0.56   4.44 0.04  281.63 0.13  0.26 0.03   0.076 0.042    22   7
  6579495   85.83  1.06   8.19 0.04   73.54 0.05  0.15 0.02   0.099 0.124   350  17
  6604616   30.40  0.49   3.88 0.04  283.81 0.18  0.35 0.04  -0.068 0.077    34   8
  6620586  165.20  1.97  12.47 0.07   67.63 0.04  0.11 0.02   0.255 0.057   150  15
  6762022   40.25  0.56   4.41 0.04  259.19 0.09  0.25 0.03  -0.229 0.034    30   7
  6928997  120.67  1.36  10.04 0.05   77.04 0.05  0.12 0.02   0.225 0.066   420  17
  7025568   56.26  0.70   5.45 0.04  286.87 0.24  0.28 0.03   0.044 0.055    60  15
  7257175   80.40  1.06   8.13 0.04   72.85 0.05  0.14 0.02   0.343 0.123   370  17
  7267119   85.10  1.08   8.29 0.04   74.24 0.03  0.13 0.02   0.349 0.060   500  15
  7439931  240.14  3.17  17.32 0.09   85.21 0.16  0.16 0.02   0.263 0.098   168  27
  7584900  322.61  5.18  22.15 0.12   96.41 0.25  0.19 0.02   0.318 0.087   280  35
  7619745  169.35  1.91  13.13 0.05   78.82 0.07  0.13 0.02   0.288 0.070   370  19
  8475025  111.84  1.29   9.66 0.04   74.38 0.03  0.13 0.02   0.149 0.062   330  14
  8522050   76.23  0.88   6.73 0.04  187.86 0.13  0.28 0.03  -0.033 0.046    75  15
  8623565   95.61  1.11   8.47 0.04   71.92 0.05  0.10 0.02   0.162 0.104   560  20
  8718745  128.40  1.56  11.41 0.05   80.03 0.05  0.15 0.02   0.280 0.072   430  17
  8751420  566.39 19.39  34.60 0.28  132.79 0.51  0.25 0.03   0.277 0.052   600  57
  8827367  234.45  2.89  17.10 0.07   88.65 0.20  0.16 0.02   0.316 0.109   240  32
  9145955  130.95  1.50  11.03 0.05   76.81 0.02  0.12 0.02   0.264 0.026   330  13
  9267654  118.20  1.39  10.36 0.05   77.94 0.07  0.13 0.02   0.216 0.103   460  20
  9475697  114.82  1.33   9.88 0.04   75.56 0.05  0.11 0.02   0.231 0.078   605  21
  9574283  448.52  9.72  29.80 0.18  114.26 0.16  0.30 0.03   0.409 0.029   700  30
  9574650  106.42  1.28   9.64 0.04   75.92 0.03  0.14 0.02   0.168 0.052   350  14
  9882316  180.40  2.09  13.68 0.06   80.30 0.23  0.15 0.02   0.226 0.146   900  65
 10123207  160.29  1.94  13.67 0.06   83.57 0.05  0.15 0.02   0.284 0.045   300  15
 10200377  143.10  1.77  12.54 0.06   81.33 0.07  0.14 0.02   0.302 0.070   320  18
 10257278  148.95  1.72  12.20 0.05   79.52 0.04  0.13 0.02   0.275 0.039   495  16
 10272858  341.45  6.16  22.71 0.14   96.90 0.30  0.19 0.02   0.338 0.098   660  20
 10387370   68.56  0.91   7.09 0.04   70.45 0.02  0.12 0.02  -0.418 0.077   360  13
 10777816  189.62  2.31  15.87 0.06   86.03 0.04  0.15 0.02   0.343 0.030   620  17
 10799530   37.00  0.54   4.24 0.04  292.82 0.12  0.28 0.03  -0.005 0.042    30   7
 10866415   94.50  1.14   8.75 0.04   75.26 0.03  0.12 0.02  -0.046 0.066   355  14
 11200291   34.30  0.52   4.14 0.04  329.43 0.18  0.34 0.04  -0.291 0.049    30   7
 11353313  127.29  1.46  10.75 0.05   76.95 0.06  0.14 0.02   0.290 0.088   465   7
 11550492   93.64  1.14   8.70 0.04   74.86 0.05  0.13 0.02   0.027 0.104   390  17
 11913545  116.75  1.38  10.18 0.05   77.68 0.02  0.14 0.02   0.204 0.033   270  12
 11968334  140.68  1.59  11.41 0.05   77.91 0.04  0.13 0.02   0.239 0.044   370  15
 12008916  160.78  1.87  12.90 0.06   79.45 0.10  0.15 0.02   0.017 0.109   440  23
 12507577   82.15  0.98   7.52 0.04   70.02 0.05  0.13 0.02   0.176 0.133   440  18

