parameter,mean,sd,Q16,Q50,Q84
Pn,76.4368834654268,1.2161004349205258,75.25227957265736,76.42896918590307,77.6300321336176
A1,5375.967883312925,1245.1277439734386,4621.377519513351,5543.332775211331,6390.038695805826
b1,1.0830959559030695,0.3624187685163853,0.8970493357380114,0.9955538095497476,1.1292715271505447
A2,1102.2705015785853,34.13224211669135,1070.9538373458115,1104.3093980443236,1134.7652554176836
b2,33.10236727115585,0.7931371812944555,32.32277667263901,33.074059564883605,33.8754362321885
A3,239.33797949126566,11.847486355631998,227.6456064428214,238.96143901603625,250.84175099747003
b3,110.8204632336513,4.300426883885793,106.52748682770307,110.8810911341993,115.07685521519674
Pg,544.4237462954752,14.509112243205502,530.1503444972772,544.2522876815215,558.5586699524528
numax,131.35052972376417,0.2754729225059564,131.079247477967,131.34949936670233,131.62407104105208
sigmaEnv,12.595187270929049,0.3131135895330754,12.280789278338988,12.592447213814685,12.906518927653035
lnprob,-231701.01163892547,10.36618256349988,-231701.8531997567,-231698.11224621366,-231696.0670458373
