KIC
7531119
7672292
5556743
10730228
7175826
9229592
2305479
5371202
11029423
9086216
6470560
8941196
10258307
5905736
3970635
10663785
12069693
1429505
8046212
3958725
9886274
8746834
9962982
8560280
7871690
5165979
11513798
4457761
7622649
8091492
8505072
8210306
8374104
6122692
9772366
7264736
8195595
8039063
6579495
6201050
9456506
11251077
8879369
9824874
7032312
7121674
8418309
4143467
5084999
8307149
3855126
5696539
7903576
2443903
3426898
9405221
4470280
7255313
4858315
10847321
8366262
9784586
5468123
9593820
10881317
7905597
7102068
3847071
7348314
10903247
9551807
8094602
4946632
8213138
6025031
7499531
5166068
10153120
2283721
6060867
9004818
10599101
10907410
8959259
4249357
4997023
8195153
5255835
8872046
4667909
11136049
6063745
7957377
10133033
6764229
10659842
10402207
10527754
5175152
11809504
5385518
11342308
10157507
5285490
8277043
5940587
7045503
3444374
1027337
9003765
10018811
2016978
11496569
8107831
3247334
8555599
8428095
3760843
2283075
8350645
7283405
11348417
9595924
6356581
9139859
10095427
2140446
6764026
5645845
7515137
7946636
9292208
6142964
7428217
8544483
8675106
5183325
9304549
6101471
5040851
6343222
8815404
10727457
9075225
6277049
7267370
8233775
7941728
6312478
6775098
3742673
8524633
11555266
5300767
3326233
6768319
11752358
10257278
8958065
7345128
8623850
6949816
7270142
9936571
8564966
8590920
12215568
7204026
9405867
10198761
10152909
5265226
5990753
11308784
6696387
12020466
7501722
11232325
3555594
4912124
5546141
9512426
7457184
10207524
5003442
7617399
4474383
2831815
10861311
5110961
4814689
3449907
3749487
6225344
9161451
7122640
7288241
9835713
11612603
9766403
8222944
9350701
3937022
7543694
4950323
7957671
5307203
5305259
11559187
5007332
10473692
9784946
