parameter,mean,sd,Q16,Q50,Q84
Pn,22.905917906494576,0.24496412201914122,22.65991490376265,22.906863596976805,23.150533124148325
A1,6659.191111122024,963.6533438985172,5714.647768052391,6591.60520137963,7596.5452654052715
b1,1.4626112144077452,0.1921085478904115,1.2782527708113107,1.4400045580583618,1.6485412041390806
A2,2302.665634312241,77.89817122688368,2224.9559628972097,2303.4955515523707,2379.21438811518
b2,22.71518737153504,0.6290531730842505,22.09514504592859,22.71011064514815,23.336480345143954
A3,549.1267479569735,28.64276731492268,520.2398277087048,549.0380970256638,577.6221197200939
b3,69.5449030327794,1.041067079789992,68.51513285382718,69.52345229180678,70.56654801103498
Pg,1135.231362635203,31.846578533988936,1102.7993750524338,1135.141739276845,1166.793327159131
numax,81.31376916173951,0.19391274995730412,81.12058120604817,81.31508952708532,81.50461534038331
sigmaEnv,8.630422709504385,0.1783654758415639,8.45254182281205,8.628464227122972,8.808837498836525
lnprob,-207365.64991548116,2.256223672108634,-207367.8023674051,-207365.312200194,-207363.47373895647
