parameter,mean,sd,Q16,Q50,Q84
Pn,116.11311010463234,14.676619283023939,114.77839289625497,120.91289067156194,123.52528302205621
A1,29868.664510102615,15185.377580316053,5363.749969085071,36668.497584022654,42018.35229077479
b1,1.3923303506321234,1.0984148636875004,0.9551275525484917,1.0154141744340324,1.9463106154977683
A2,554.8988998883449,185.51901681987906,475.5861759960802,492.0597708036905,574.2023966345849
b2,41.18816092008709,6.233201352820758,40.80380767105933,42.768331004537224,44.34819520949635
A3,73.94122325984915,19.746963165018173,62.288862347410074,70.48207981135549,81.85424054547678
b3,170.60380159807255,36.76154576300935,142.0194959735137,158.74138775750174,199.49800644612546
Pg,156.77889221448407,32.73714384125955,142.02126245275886,166.42885302131378,176.90884140434758
numax,193.5625627760058,10.501740659605161,194.10917631979967,195.07003151329613,195.85477301004764
sigmaEnv,18.65172007445757,16.291696574155523,12.211774738055192,13.105321042205624,14.762243076425843
lnprob,-228729.2958823678,782.8883758934337,-229087.69803062215,-228390.89067377124,-228388.0140808329
