time,time_raw,flux
54964.512284976,54964.512284976,-139.91304967089474
54964.5327178636,54964.5327178636,137.08297560367492
54964.5531507512,54964.5531507512,-443.97375240749665
54964.5735836388,54964.5735836388,-251.7137002590923
54964.5940165264,54964.5940165264,253.46862732187128
54964.614449414,54964.614449414,-61.22365901517463
54964.6348823016,54964.6348823016,177.28074296553183
54964.6553151892,54964.6553151892,562.0478010997139
54964.6757480768,54964.6757480768,802.2589366520299
54964.6961809644,54964.6961809644,974.1676016034417
54964.716613852,54964.716613852,491.20561073205477
54964.7370467396,54964.7370467396,543.3114624526033
54964.7574796272,54964.7574796272,609.1490471682641
54964.7779125147,54964.7779125147,20.443736562614873
54964.7983454023,54964.7983454023,-90.36463167838525
54964.81877829,54964.81877829,-279.2891030313573
54964.8392111775,54964.8392111775,-58.04937747720258
54964.8596440651,54964.8596440651,88.29858212863255
54964.8800769527,54964.8800769527,228.69570881238772
54964.9005098403,54964.9005098403,-520.6787384381004
54964.9209427279,54964.9209427279,-174.04812973658994
54964.9413756155,54964.9413756155,-778.630265168326
54964.9618085031,54964.9618085031,-695.5799482702591
54964.9822413907,54964.9822413907,-436.4809548875852
54965.0026742783,54965.0026742783,-526.1981451272741
54965.0231071659,54965.0231071659,-78.15794828319149
54965.0435400535,54965.0435400535,-435.40015076406604
54965.0639729411,54965.0639729411,-535.7164289179133
54965.0844058287,54965.0844058287,-650.2887832049635
54965.1048387163,54965.1048387163,-850.11937443673
54965.1252716039,54965.1252716039,-214.38273433205026
54965.1457044915,54965.1457044915,-179.31201594192518
54965.1661373791,54965.1661373791,276.5328575466992
54965.1865702667,54965.1865702667,323.0811366864484
54965.2070031543,54965.2070031543,276.14596881265993
54965.2274360419,54965.2274360419,-290.68201449569506
54965.2478689295,54965.2478689295,-646.4742565411947
54965.2683018171,54965.2683018171,-823.4942742765851
54965.2887347047,54965.2887347047,-198.33123754615252
54965.3091675923,54965.3091675923,-426.9230063578884
54965.3296004799,54965.3296004799,-465.49677386563
54965.3500333675,54965.3500333675,-465.2912384704464
54965.3704662551,54965.3704662551,-1171.7084706695377
54965.3908991427,54965.3908991427,-762.5015227326381
54965.4113320303,54965.4113320303,-773.7206092527463
54965.4317649179,54965.4317649179,-510.32670800325684
54965.4521978055,54965.4521978055,-716.9070137353488
54965.4726306931,54965.4726306931,-540.6779768580814
