time,time_raw,flux
54964.512731649,54964.512731649,-97.8234042249776
54964.5331653408,54964.5331653408,-412.1314669126875
54964.5535990326,54964.5535990326,-127.8875949217202
54964.5740327244,54964.5740327244,-457.7860132535106
54964.5944664162,54964.5944664162,158.26085353205508
54964.614900108,54964.614900108,-320.7342731652582
54964.6353337998,54964.6353337998,-458.48730602948405
54964.6557674916,54964.6557674916,-326.4091453465686
54964.6762011833,54964.6762011833,-391.0788613454593
54964.6966348751,54964.6966348751,-285.4934570061888
54964.7170685669,54964.7170685669,-524.8869713211102
54964.7375022587,54964.7375022587,-356.1568513474774
54964.7579359505,54964.7579359505,-724.0584763747808
54964.7783696423,54964.7783696423,-679.4546375612947
54964.7988033341,54964.7988033341,-389.5740884221667
54964.8192370259,54964.8192370259,-180.95655208848768
54964.8396707177,54964.8396707177,-196.63511988154323
54964.8601044095,54964.8601044095,-123.78651287730396
54964.8805381013,54964.8805381013,-39.75939175373382
54964.9009717931,54964.9009717931,293.6909286560414
54964.9214054849,54964.9214054849,-442.76069979287587
54964.9418391767,54964.9418391767,-490.0986449653627
54964.9622728685,54964.9622728685,-220.8248870679564
54964.9827065603,54964.9827065603,-59.56722602466644
54965.0031402521,54965.0031402521,7.644719977735335
54965.0235739439,54965.0235739439,-383.07546623934275
54965.0440076357,54965.0440076357,-272.9296429210815
54965.0644413275,54965.0644413275,-385.4178329054656
54965.0848750193,54965.0848750193,46.22332578891336
54965.1053087111,54965.1053087111,-226.6832618571197
54965.1257424029,54965.1257424029,-214.54548542567747
54965.1461760947,54965.1461760947,-303.47584568610364
54965.1666097865,54965.1666097865,-659.1792180782253
54965.1870434782,54965.1870434782,-152.08236374613034
54965.20747717,54965.20747717,-367.9664023927465
54965.2279108618,54965.2279108618,-433.5379011734114
54965.2483445536,54965.2483445536,-239.0214837541808
54965.2687782454,54965.2687782454,-466.46306866594153
54965.2892119372,54965.2892119372,-445.02983286888707
54965.309645629,54965.309645629,-683.566124523733
54965.330079320804,54965.330079320804,-425.15392801035244
54965.3505130126,54965.3505130126,-312.2847496814688
54965.3709467044,54965.3709467044,-558.4284424931835
54965.3913803962,54965.3913803962,-369.66380245529894
54965.411814088,54965.411814088,-657.4920683286482
54965.4322477798,54965.4322477798,-256.75601330604184
54965.4526814716,54965.4526814716,273.84635709191275
54965.4731151634,54965.4731151634,-218.07726270347806
54965.4935488552,54965.4935488552,-474.33490853484193
54965.513982547,54965.513982547,-403.3369823023377
54965.5344162388,54965.5344162388,-9.45783578793111
54965.5548499306,54965.5548499306,-474.4094463126485
54965.5752836224,54965.5752836224,-405.2159953313577
54965.5957173142,54965.5957173142,-131.85344305844262
54965.616151006,54965.616151006,99.59880901161947
54965.6365846978,54965.6365846978,132.88151473011038
54965.6570183896,54965.6570183896,-251.00014717670913
54965.6774520813,54965.6774520813,-331.7755938633019
54965.6978857731,54965.6978857731,-91.93837832968103
54965.7183194649,54965.7183194649,-530.0778511046125
54965.7387531567,54965.7387531567,-635.0560184559683
54965.7591868485,54965.7591868485,-530.0679724807761
54965.7796205403,54965.7796205403,-388.4701436348199
54965.8000542321,54965.8000542321,-772.1774864232725
54965.8204879239,54965.8204879239,-614.274049656246
54965.8409216157,54965.8409216157,-582.4664199766914
54965.8613553075,54965.8613553075,-492.33713838210826
54965.8817889993,54965.8817889993,-279.90217292628944
54965.9022226911,54965.9022226911,-251.61655383704917
54965.9226563829,54965.9226563829,-566.4011640010092
54965.9430900747,54965.9430900747,-268.9170748095748
