parameter,mean,sd,Q16,Q50,Q84
Pn,74.55424165364579,2.4193501838190654,72.55864466808504,74.88571945262693,76.69450613146215
A1,9531.261719820948,2657.2905622699054,7784.567656265104,10195.584771482914,11586.896855241788
b1,1.182210460665546,0.37243658397162804,0.9745750688339152,1.049483889667423,1.2334013007069633
A2,409.9463025283206,13.743640208028824,397.6039764183302,410.6597311258114,422.87057596650607
b2,42.2278695121416,1.6777351835179692,40.8335688562492,41.88768916949048,43.42519689744536
A3,71.66336673428712,5.433264364317626,67.54659971698557,72.31115026164859,76.28728578177504
b3,176.93693842711153,20.139330241257497,160.5238815831873,173.7680397405833,190.94508820859397
Pg,100.7349952186978,5.367885682128427,95.51527066829483,100.6461546180833,105.96959854297403
numax,175.8270420611712,0.8063000577739328,175.05258360416798,175.84425222723465,176.62080797043646
sigmaEnv,14.917805386942007,1.123675699353041,13.910626202619248,14.810601212003348,15.860344301527414
lnprob,-218526.53701916346,35.25900702960593,-218521.47013805716,-218514.39608884888,-218512.17948273238
