parameter,mean,sd,Q16,Q50,Q84
Pn,89.34372471108846,1.0218608977535986,88.32219537494254,89.34715050310616,90.3681303777327
A1,9857.994764693309,1110.0282396099155,8770.865406174207,9771.16321885049,10965.560215182059
b1,1.125741940019637,0.08537104948171753,1.0403319950642906,1.1234765142388663,1.2103656268035385
A2,976.8308464261322,29.1754604398492,947.7555149333757,976.8474283532181,1005.7115586259367
b2,29.074166568126763,0.7041726641640136,28.37779157660382,29.06464486186397,29.782939137425625
A3,194.12539041331502,11.373057238077175,182.97293785838335,193.9264171394465,205.35379071467565
b3,96.10986713885012,3.6067153397719123,92.49678174506063,96.14677610373377,99.74638199662681
Pg,497.99925742759854,14.299377225439766,483.63677311815405,497.77819505842444,512.1344231242433
numax,105.88600178996974,0.2860980509276395,105.60321306095354,105.87764332079884,106.17758441407962
sigmaEnv,11.4630750152515,0.3446432935114506,11.121929795782874,11.454731986729028,11.806396550737926
lnprob,-228142.09170861682,2.248451659049928,-228144.22717780984,-228141.75732999825,-228139.93941832337
