parameter,mean,sd,Q16,Q50,Q84
Pn,30.757160234296098,1.4065324276396076,29.600748043918365,30.98790059696659,31.98269919495336
A1,4788.9144276838915,1023.142489960216,4236.620946798079,4961.828524666398,5595.647760736682
b1,1.3304977195232355,0.3202268190228963,1.1558930359392394,1.2451450022361135,1.3818210606849215
A2,364.9692695187137,9.23812049469041,356.2955588636152,365.41895164068626,373.82724518555517
b2,51.10348728997637,1.1809613806702834,49.997033826727275,51.12959900993985,52.22875180337802
A3,66.5361188498769,4.418476354322937,62.12477675554688,66.29450977087,70.96860922051998
b3,171.9670133006625,10.455273972937757,162.32195400340336,170.6692509044372,181.1408213143475
Pg,211.30575324389164,7.208956605348035,205.2072080418731,210.46501090761933,216.60420140091932
numax,216.4362149690443,0.4309665268586859,216.0596348253317,216.38685492831877,216.7592601615608
sigmaEnv,14.782895623455982,0.38385830568972457,14.430718224209784,14.75182967529447,15.11335987743156
lnprob,-207284.04557194887,26.688158014124266,-207280.79510158696,-207276.54501784052,-207274.41425035812
