parameter,mean,sd,Q16,Q50,Q84
Pn,23.318416180230173,0.3267459866958857,22.989178833645,23.31695920091678,23.648253298610705
A1,12310.88064957583,1502.9608305870956,10845.962270048938,12211.37483686814,13751.94663490723
b1,0.9755734057036798,0.0710269373997734,0.9049948470207269,0.9742812755525977,1.046384028265652
A2,1925.3713115262544,53.852117777627086,1871.911251294605,1924.1562004953182,1979.8207680574617
b2,26.69507883126439,0.5820753463682187,26.116382991741574,26.698161817907376,27.275302794713994
A3,432.5186630543039,18.031737106858294,414.6318440241075,432.3797735495765,450.4449638852184
b3,86.62074775438361,1.2332876457942208,85.37521604815836,86.62977180320189,87.82845095353181
Pg,834.2554720156946,20.65549071826276,813.7431573722632,833.9236671031123,854.8857784040888
numax,101.49886834700203,0.23670916011783094,101.26321764931471,101.50219203350947,101.73510212994917
sigmaEnv,11.398227638754758,0.23425865068899845,11.165211878405708,11.394658853402468,11.630759911125317
lnprob,-214600.91526024762,2.2536965740743913,-214603.07240406107,-214600.58081617294,-214598.75065362194
