frequency,linewidth,snr,height,AIC,amplitude
115.91308107081998,0.011257560994512318,2.0597869113920515,3.4943630658053118,2.9609115320199635,0.351545144491142
115.97802755350094,NA,NA,8.169755536365832,4.176216139072494,0.31781978042408265
116.18069691684353,0.018353850262839005,1.5910607504540104,2.142070494245454,2.1478907855489524,0.3514434131206518
116.73767188699122,NA,NA,7.355800155747243,2.43671567770798,0.30157223418458323
117.64675687688126,NA,NA,8.895056342287463,11.033409460476832,0.33162765828772167
117.97682290551963,NA,NA,8.31024535914282,2.1942701713196584,0.3205407995176499
118.19175128916753,0.01304681266073106,3.8998040701795618,5.965039300656146,13.78723076114693,0.4944630054051634
119.30550547188317,0.005799551312842239,2.8424408962706154,6.607690172082859,9.580928480179864,0.3469740294048958
120.80254443766125,NA,NA,8.564270306377956,4.904325785435503,0.3254030173260354
121.69656865042889,NA,NA,8.449691120228612,5.117105543220532,0.32321894574403187
121.84221297685717,NA,NA,7.647529291563949,4.979657703763223,0.3074942273947717
121.97143566108647,NA,NA,7.461285558247227,3.6064255009769113,0.3037268761487199
122.01889586075302,NA,NA,8.194971984156737,6.059706780863053,0.3183098875787282
122.09355937563943,NA,NA,7.830454368562578,3.662918838992482,0.3111500493126463
122.1572306997153,NA,NA,8.116157777126261,5.377348895148316,0.31677553505761114
122.52307460884256,NA,NA,9.653246204439306,9.979238246138266,0.34547218285931985
122.92404816711209,NA,NA,9.159853480685689,6.735709126543952,0.33652757500331504
123.0521273162128,0.014825038313118448,2.0830233881782263,3.07955803537245,5.585723165037052,0.3787189574268457
123.26858130932008,0.009455342630561428,5.7020089641279545,10.056097874399345,23.89261039064877,0.5465480102912086
123.48109977527996,0.005799551312842239,3.195510364238528,7.387526154188123,9.311636733043997,0.3668779829678179
123.69918127490773,NA,NA,15.408953065878666,37.87227185119991,0.43647860314965387
123.74277485898321,NA,NA,13.226907464550996,32.59994974199071,0.40439478858464317
123.7626892539033,NA,NA,13.226907464550996,20.050511123045,0.40439478858464317
