parameter,mean,sd,Q16,Q50,Q84
Pn,76.9993642533305,2.2625066347347005,75.57063773225933,77.51214267284729,78.727792365313
A1,5500.374199358253,1761.603274936135,3370.721856450839,6020.390062194429,6888.815662589038
b1,1.0906445595829486,0.29844725248414217,0.9160700391716691,0.9830933116000022,1.223331198169906
A2,147.0636708835061,4.412805291847416,142.9968743696321,147.05236999333607,151.09649547195255
b2,56.253523504102624,1.9868658138259843,55.030300670715384,56.48459991888175,57.81138106818287
A3,2.666713153383405,3.7797868162426798,0.2931889695110006,1.2170578837854644,4.597725913199305
b3,220.25197039768346,52.64176829049569,157.44972801277393,218.7791427005206,283.56698816277935
Pg,208.40046938097825,16.871326949141874,203.15145881069049,212.8411900875015,219.65024785603183
numax,212.87172287160274,0.6493119073137794,212.31122645088644,212.79777042945915,213.36630166018242
sigmaEnv,17.322582361314485,0.9610728962831704,16.548250125092554,17.093745790077453,18.03652929113669
lnprob,-209236.04863599624,77.49589756192248,-209234.96565537396,-209208.2521838029,-209205.86315938292
