time,time_raw,flux
54964.5129745724,54964.5129745724,-497.0359239132511
54964.5334079904,54964.5334079904,-303.1306890882853
54964.5538414083,54964.5538414083,-552.848638086624
54964.5742748263,54964.5742748263,-364.45693168338283
54964.5947082443,54964.5947082443,-607.9933474573295
54964.6151416623,54964.6151416623,-303.0755770898146
54964.6355750803,54964.6355750803,-62.6329636704009
54964.6560084983,54964.6560084983,49.161618907168645
54964.6764419163,54964.6764419163,-240.99989400859394
54964.6968753343,54964.6968753343,-198.2351872146105
54964.7173087522,54964.7173087522,-350.2406901211573
54964.7377421702,54964.7377421702,-708.6643443988759
54964.7581755882,54964.7581755882,-180.84351739602118
54964.7786090062,54964.7786090062,-461.75774408081514
54964.7990424242,54964.7990424242,-351.00329463444837
54964.8194758422,54964.8194758422,-412.5341848022848
54964.8399092602,54964.8399092602,-377.06304251384046
54964.8603426781,54964.8603426781,174.33186056436261
54964.8807760961,54964.8807760961,-65.75477752414014
54964.9012095141,54964.9012095141,-476.32311971349395
54964.9216429321,54964.9216429321,-486.1669365833344
54964.9420763501,54964.9420763501,-806.3815640363323
54964.9625097681,54964.9625097681,-228.45939771717042
54964.9829431861,54964.9829431861,-825.8833182810207
54965.0033766041,54965.0033766041,-228.07231718948782
54965.023810022,54965.023810022,-291.3415856093462
54965.04424344,54965.04424344,-651.1727974388102
54965.064676858,54965.064676858,-362.3944829926728
54965.085110276,54965.085110276,-478.59815944691803
54965.105543694,54965.105543694,-43.364265732567276
54965.125977112,54965.125977112,7.761876376773614
54965.14641053,54965.14641053,-341.5215518672431
54965.166843948,54965.166843948,-257.1088549008896
54965.1872773659,54965.1872773659,-320.8344923151782
54965.2077107839,54965.2077107839,-420.59838748633854
54965.2281442019,54965.2281442019,78.84940671768726
54965.2485776199,54965.2485776199,81.96310961939184
54965.2690110379,54965.2690110379,-264.1705784206764
54965.2894444559,54965.2894444559,-68.97194614574687
54965.3098778739,54965.3098778739,466.46912804023566
54965.3303112919,54965.3303112919,-424.429338531273
54965.3507447098,54965.3507447098,-213.4482923649988
54965.3711781278,54965.3711781278,7.3120653035705345
54965.3916115458,54965.3916115458,-444.6952196596035
54965.4120449638,54965.4120449638,-107.27751630394903
54965.4324783818,54965.4324783818,550.5537560600393
54965.4529117998,54965.4529117998,72.18916117631039
54965.4733452178,54965.4733452178,202.26987229547916
54965.4937786357,54965.4937786357,-71.5942547612899
54965.5142120537,54965.5142120537,-294.45297298995797
54965.5346454717,54965.5346454717,-63.042377670244946
54965.5550788897,54965.5550788897,-444.5040116201255
54965.5755123077,54965.5755123077,-719.7626102824626
54965.5959457257,54965.5959457257,-230.80747949363345
54965.6163791437,54965.6163791437,-343.3496217792135
54965.6368125617,54965.6368125617,-280.89635910068137
54965.6572459796,54965.6572459796,42.43264578878211
54965.6776793976,54965.6776793976,-159.23627596875883
54965.6981128156,54965.6981128156,-108.38970144086636
54965.7185462336,54965.7185462336,-267.0953620256897
54965.7389796516,54965.7389796516,-35.98729922515406
54965.7594130696,54965.7594130696,313.0247822062911
54965.7798464876,54965.7798464876,81.05005465883062
54965.8002799056,54965.8002799056,-47.51152596951789
54965.8207133235,54965.8207133235,220.79845247526544
54965.8411467415,54965.8411467415,93.12333948907491
54965.8615801595,54965.8615801595,327.60428458489025
54965.8820135775,54965.8820135775,-189.4865130586913
54965.9024469955,54965.9024469955,66.24157621668263
54965.9228804135,54965.9228804135,250.29493285744434
54965.9433138315,54965.9433138315,181.205982487095
54965.9637472495,54965.9637472495,158.0813382980582
54965.9841806674,54965.9841806674,242.81904437787136
54966.0046140854,54966.0046140854,-126.06147275552468
54966.0250475034,54966.0250475034,53.66017059652478
54966.0454809214,54966.0454809214,-852.7776657309739
54966.0659143394,54966.0659143394,400.0342342954677
54966.0863477574,54966.0863477574,-62.1561543819285
54966.1067811754,54966.1067811754,-190.46412875066903
54966.1272145933,54966.1272145933,-275.77382073254194
54966.1476480113,54966.1476480113,20.007464179689748
54966.1680814293,54966.1680814293,174.3525944062588
54966.1885148473,54966.1885148473,0.04780478194982152
54966.2089482653,54966.2089482653,-35.896017085596725
54966.2293816833,54966.2293816833,-119.9176651098694
54966.2498151013,54966.2498151013,595.7358641940515
54966.2702485193,54966.2702485193,78.05489561156259
54966.2906819372,54966.2906819372,132.34312373912854
54966.3111153552,54966.3111153552,241.8586153458607
54966.3315487732,54966.3315487732,194.1035100457184
54966.3519821912,54966.3519821912,381.8426186361871
54966.3724156092,54966.3724156092,325.15086382327854
54966.3928490272,54966.3928490272,365.38647471534205
54966.4132824452,54966.4132824452,399.4021409311229
54966.4337158632,54966.4337158632,-137.42610483390416
54966.4541492811,54966.4541492811,99.84748204978524
54966.4745826991,54966.4745826991,85.4931671616377
54966.4950161171,54966.4950161171,118.25770119773074
54966.5154495351,54966.5154495351,209.10577213379798
54966.5358829531,54966.5358829531,373.8566703492641
54966.5563163711,54966.5563163711,234.11925706137362
54966.5767497891,54966.5767497891,167.82055726209546
54966.597183207,54966.597183207,458.32660780733556
54966.617616625,54966.617616625,255.47735480355124
54966.638050043,54966.638050043,541.0682228207545
54966.658483461,54966.658483461,272.394758038298
54966.678916879,54966.678916879,374.494611067619
54966.699350297,54966.699350297,65.57368714645025
54966.719783715,54966.719783715,178.78556617127316
54966.740217133,54966.740217133,381.4906358812776
54966.7606505509,54966.7606505509,37.04348103436763
54966.7810839689,54966.7810839689,145.07867604699481
54966.8015173869,54966.8015173869,-390.528977409787
54966.8219508049,54966.8219508049,70.82852801063666
54966.8423842229,54966.8423842229,-94.66850218990936
54966.8628176409,54966.8628176409,144.9790318405178
54966.8832510589,54966.8832510589,35.49352098714775
54966.9036844769,54966.9036844769,114.26729861888566
54966.9241178948,54966.9241178948,-93.55369333252128
54966.9445513128,54966.9445513128,236.37472497925506
54966.9649847308,54966.9649847308,74.88074814536117
54966.9854181488,54966.9854181488,303.41387735590774
54967.0058515668,54967.0058515668,-20.95173345355414
54967.0262849848,54967.0262849848,-19.31156590547937
54967.0467184028,54967.0467184028,208.88187921898145
54967.0671518208,54967.0671518208,460.10813387018516
54967.0875852387,54967.0875852387,426.47754485770696
54967.1080186567,54967.1080186567,-218.29536104252463
54967.1284520747,54967.1284520747,193.9310942831433
54967.1488854927,54967.1488854927,413.04143777837737
54967.1693189107,54967.1693189107,174.3504110374896
54967.1897523287,54967.1897523287,273.1771386241336
54967.2101857467,54967.2101857467,592.7185673009612
54967.2306191646,54967.2306191646,126.83899603609859
54967.2510525826,54967.2510525826,273.93082269838015
54967.2714860006,54967.2714860006,-112.79065298626801
54967.2919194186,54967.2919194186,236.78314089523462
54967.3123528366,54967.3123528366,310.9533269180216
54967.3327862546,54967.3327862546,-10.772564588406624
54967.3532196726,54967.3532196726,357.0066008495833
54967.3736530906,54967.3736530906,-65.50677637385235
54967.3940865085,54967.3940865085,460.46710539087496
54967.4145199265,54967.4145199265,212.27642667244146
54967.4349533445,54967.4349533445,144.9557543935499
54967.4553867625,54967.4553867625,71.48362970405361
54967.4758201805,54967.4758201805,-161.7876750782442
54967.4962535985,54967.4962535985,-350.726703148369
54967.5166870165,54967.5166870165,-158.85823218033659
54967.5371204345,54967.5371204345,-499.9343284668621
54967.5575538524,54967.5575538524,-69.00731797270697
54967.5779872704,54967.5779872704,-176.3779990982183
54967.5984206884,54967.5984206884,-364.38942390482026
54967.6188541064,54967.6188541064,-100.05686826690066
54967.6392875244,54967.6392875244,-334.44930606476765
54967.6597209424,54967.6597209424,-309.332598280413
54967.6801543604,54967.6801543604,-505.9068426331557
54967.7005877784,54967.7005877784,487.787405618811
54967.7210211963,54967.7210211963,-278.44185051132257
54967.7414546143,54967.7414546143,-185.99885164402696
54967.7618880323,54967.7618880323,8.362413569597095
54967.7823214503,54967.7823214503,-399.2141665058111
54967.8027548683,54967.8027548683,-71.06437011482626
54967.8231882863,54967.8231882863,379.63086623415677
54967.8436217043,54967.8436217043,93.39461873422988
54967.8640551222,54967.8640551222,-45.3138642989461
54967.8844885402,54967.8844885402,364.0013103579497
54967.9049219582,54967.9049219582,85.58028960844877
54967.9253553762,54967.9253553762,185.92794260233444
54967.9457887942,54967.9457887942,-153.8799881152973
54967.9662222122,54967.9662222122,-261.76003374463824
54967.9866556302,54967.9866556302,-91.33438493684412
54968.0070890482,54968.0070890482,-82.31049082718698
54968.0275224661,54968.0275224661,-304.11350560346034
54968.0479558841,54968.0479558841,91.62564752359094
54968.0683893021,54968.0683893021,-53.121196796467586
54968.0888227201,54968.0888227201,-91.20854991653425
54968.1092561381,54968.1092561381,66.94923869277898
54968.1296895561,54968.1296895561,23.153748735607167
54968.1501229741,54968.1501229741,361.9897207296069
54968.1705563921,54968.1705563921,131.11931689144996
54968.19098981,54968.19098981,-39.837588208290356
54968.211423228,54968.211423228,-172.8362256287994
54968.231856646,54968.231856646,300.07538537622906
54968.252290064,54968.252290064,-113.08386934142857
54968.272723482,54968.272723482,-166.50594458762356
54968.2931569,54968.2931569,358.0133760235274
54968.313590318,54968.313590318,-69.3702920402344
54968.334023736,54968.334023736,22.709907303102113
54968.3544571539,54968.3544571539,276.1236489950659
54968.3748905719,54968.3748905719,-289.4527310842441
54968.3953239899,54968.3953239899,-14.557669409223195
54968.4157574079,54968.4157574079,208.02169985083026
54968.4361908259,54968.4361908259,-64.55310895047279
54968.4566242439,54968.4566242439,161.22802720166112
54968.4770576619,54968.4770576619,371.2464815563417
54968.4974910798,54968.4974910798,-168.30515560643386
54968.5179244978,54968.5179244978,202.26074965711308
54968.5383579158,54968.5383579158,-93.15503971689577
54968.5587913338,54968.5587913338,-139.64184195566554
54968.5792247518,54968.5792247518,-46.66142700452866
54968.5996581698,54968.5996581698,-227.8737979396709
54968.6200915878,54968.6200915878,-94.69537946672494
54968.6405250058,54968.6405250058,-337.8272025309275
54968.6609584237,54968.6609584237,78.94402154430992
54968.6813918417,54968.6813918417,-170.01678705589393
54968.7018252597,54968.7018252597,-98.99612349245325
54968.7222586777,54968.7222586777,429.953176805822
54968.7426920957,54968.7426920957,4.840649453300728
54968.7631255137,54968.7631255137,-48.047268777811894
54968.7835589317,54968.7835589317,661.5727499745988
54968.8039923497,54968.8039923497,287.77684783020817
54968.8244257676,54968.8244257676,308.20383720304534
54968.8448591856,54968.8448591856,-195.05251861786655
54968.8652926036,54968.8652926036,369.392643245168
54968.8857260216,54968.8857260216,0.3089225207274353
54968.9061594396,54968.9061594396,-3.640969748155783
54968.9265928576,54968.9265928576,-158.98059443544582
54968.9470262756,54968.9470262756,311.48257702580867
54968.9674596936,54968.9674596936,-58.21266346116187
54968.9878931115,54968.9878931115,122.53621531028784
54969.0083265295,54969.0083265295,305.1955522474884
54969.0287599475,54969.0287599475,59.85249978513923
54969.0491933655,54969.0491933655,273.32589922161367
54969.0696267835,54969.0696267835,-67.95842405370979
54969.0900602015,54969.0900602015,0.014426317154914159
54969.1104936195,54969.1104936195,30.62736884543847
54969.1309270374,54969.1309270374,-19.79507371468719
54969.1513604554,54969.1513604554,-88.23829674886332
54969.1717938734,54969.1717938734,51.57673223555378
54969.1922272914,54969.1922272914,-134.71883191826555
54969.2126607094,54969.2126607094,113.16920358658456
54969.2330941274,54969.2330941274,-65.31002883162148
54969.2535275454,54969.2535275454,310.69878694249564
54969.2739609634,54969.2739609634,-118.14713865355634
54969.2943943813,54969.2943943813,-7.446519759247337
54969.3148277993,54969.3148277993,86.14493362516754
54969.3352612173,54969.3352612173,144.5278446289201
54969.3556946353,54969.3556946353,194.86313228628796
54969.3761280533,54969.3761280533,-106.2316559577709
54969.3965614713,54969.3965614713,-187.77342858361672
54969.4169948893,54969.4169948893,509.69167200339626
54969.4374283073,54969.4374283073,629.7466792389343
54969.4578617252,54969.4578617252,212.27248125023976
54969.4782951432,54969.4782951432,-152.25514342150302
54969.4987285612,54969.4987285612,376.7758984679751
54969.5191619792,54969.5191619792,164.77471638478698
54969.5395953972,54969.5395953972,-288.975477921573
54969.5600288152,54969.5600288152,553.8989417619001
54969.5804622332,54969.5804622332,-132.64365927832768
54969.6008956512,54969.6008956512,-83.81476236982087
54969.6213290691,54969.6213290691,503.30943990288785
54969.6417624871,54969.6417624871,157.7974291745179
54969.6621959051,54969.6621959051,-28.148771652902894
54969.6826293231,54969.6826293231,264.4761642998268
54969.7030627411,54969.7030627411,-46.215763760244045
