parameter,mean,sd,Q16,Q50,Q84
Pn,78.53427156667405,6.425046627849043,71.02208084622154,79.41211766609078,85.2591330077487
A1,7138.237951552347,2025.4769252304861,5895.430476640425,7657.648796247592,8684.922146639366
b1,1.3537834000480227,0.3942180412100262,1.1346453527724236,1.224396416808291,1.4139416948943355
A2,461.4039576236809,14.698591092197073,447.7978258781339,462.9018130482173,475.1922163402458
b2,48.74063736547864,1.1155237007921366,47.646671380545776,48.76460819075129,49.832006539771214
A3,74.16056639101113,6.17142809641875,68.23657800424233,73.72855501841634,80.24069256208725
b3,235.42958834189938,41.21064632516726,190.82590387040605,234.0303714258588,283.3638528545485
Pg,135.06096503301382,7.824724568036678,127.71025740886718,135.29159361982363,142.74105827025133
numax,196.77688790035845,1.0409707132343156,196.14385045622384,196.89451312589756,197.6052470043558
sigmaEnv,15.375384202019982,1.0884255518487622,14.465913073831283,15.235730243866842,16.158972229356447
lnprob,-224742.13226706913,51.37941618947359,-224732.35664126312,-224726.0623972829,-224723.94583967983
