KIC,DPi1,dpi_e,dpi_E,q,q_e,q_E,eps_g,eps_g_e,eps_g_E,drot,drot_e,drot_E,feh,mass,mass_std
1027337,70.243,0.065471970313567,0.044917057809997,0.077,0.015764191723573,0.021591664541981,-0.015,0.144429525951316,0.099534542721673,0.0,0.0,0.0,0.2081,1.3041417024658,0.0795242116511016
1430118,83.029,0.027419646743155,0.438901603550022,0.155,0.013903287938764,0.022160578858808,0.33,0.287667826812265,0.033975161264199,0.279,0.044908699180743,0.188027110807702,-0.15766,1.05086326162448,0.0570563423452652
1433803,80.221,0.010113424254342,0.267915360498222,0.138,0.019383864158081,0.015719166704179,0.039,0.108583974205327,0.022481249059824,0.399,0.174180557527372,0.442240291874625,0.26344,1.23106050802248,0.0698259140919551
1569842,80.708,0.144444022983492,0.079228096596282,0.155,0.017943920725264,0.017482975681242,0.195,0.133666414477696,0.105483060727375,0.366,0.027266990560661,0.0296395070975,-0.2798,0.983593878726926,0.0566545664478285
1719422,76.931,0.008664166981035,0.027016363518968,0.139,0.007080237149794,0.004200015479796,0.414,0.033258224736395,0.008082983876905,0.268,0.008878559041705,0.007039583996922,-0.28246,1.2823650182284,0.0743403856066669
1723752,83.938,0.024933223932976,0.024715858203351,0.16,0.00596481208286,0.005168329318501,0.206,0.021501414533847,0.013081999619235,0.671,0.016046716977813,0.024765107874466,-0.16061,1.33168691038342,0.0749530399666448
1723843,72.875,0.00741590559899,0.004871194564302,0.16,0.007587764358235,0.009153696781677,0.189,0.003502793695643,0.009643133274463,0.486,0.007600844890369,0.009461880909346,-0.25286,1.49096053146553,0.0887909349739544
1726291,82.546,0.018344422017449,0.022987085470518,0.176,0.018838150182575,0.00112098234366,0.29,0.025453869850206,0.012653498292212,0.541,0.015780878473578,0.015676588987395,-0.37948,0.934434747405334,0.0537499818716406
1870196,85.21,0.233433803203468,0.013111945918382,0.147,0.005211370638773,0.010041056827471,0.124,0.008588582586599,0.172403707628943,0.333,0.011375894790458,0.046628735470003,-0.0079961,1.18153575054021,0.0647659107296869
1996078,70.976,0.099808993377863,0.012197074123961,0.164,0.024514627542115,0.014771183270113,-0.238,0.01198978851709,0.21309824170174,0.3,0.009513777659991,0.042153818537794,-0.12839,1.21904897115752,0.0727449381327006
