KIC,numax,numax_std,Deltanu,Deltanu_err,DPi1,dpi_e,dpi_E,q,q_e,q_E,eps_g,eps_g_e,eps_g_E,drot,drot_e,drot_E,feh,mass,mass_std
4586384,127.878,2.558,10.776,0.004,77.092,0.105,0.013,0.145,0.016,0.007,0.04,0.01,0.136,0.369,0.021,0.016,,,
4586817,159.777,3.196,12.777,0.003,79.853,0.388,0.086,0.137,0.021,0.027,0.21,0.157,0.17,0.246,0.166,0.294,0.005,1.306,0.073
4588755,184.859,3.697,14.233,0.006,83.27,0.021,0.02,0.136,0.01,0.01,0.463,0.022,0.01,0.343,0.015,0.013,,,
4633376,136.411,2.728,11.327,0.002,80.944,0.099,0.135,0.129,0.039,0.023,0.226,0.127,0.097,0.0,0.0,0.0,0.244,1.145,0.068
4645474,152.999,3.06,12.815,0.003,81.975,0.101,0.076,0.159,0.021,0.024,0.206,0.041,0.124,0.295,0.022,0.021,-0.348,1.128,0.076
4645513,63.548,1.271,5.799,0.001,94.07,0.069,0.045,0.156,0.028,0.041,0.008,0.058,0.065,0.0,0.0,0.0,0.09,1.782,0.112
4649441,201.196,4.024,15.57,0.006,86.85,0.045,0.241,0.168,0.008,0.014,0.235,0.124,0.04,0.453,0.025,0.028,,,
4650936,195.133,3.903,15.059,0.005,85.073,0.2,0.136,0.148,0.028,0.034,0.226,0.056,0.145,0.317,0.071,0.035,,,
4660930,168.299,3.366,13.322,0.004,80.028,0.04,0.088,0.138,0.017,0.011,0.147,0.08,0.027,0.532,0.032,0.038,,,
4662555,223.964,4.479,15.879,0.004,85.518,0.018,0.271,0.159,0.008,0.02,0.278,0.179,0.003,0.269,0.069,0.013,0.082,1.546,0.087
4664515,187.324,3.746,15.623,0.005,86.415,0.042,0.06,0.181,0.009,0.018,0.271,0.043,0.026,0.348,0.038,0.025,-0.692,0.852,0.052
4667909,139.262,2.785,11.557,0.003,79.836,3.606,3.48,0.143,0.025,0.019,0.158,0.1,0.056,0.414,0.0,0.0,0.109,1.185,0.067
4669118,142.166,2.843,11.838,0.003,80.96,0.0,0.16,0.147,0.015,0.027,0.049,0.161,0.0,0.314,0.025,0.008,0.139,1.153,0.065
4678118,74.183,1.484,7.401,0.002,71.55,0.054,0.044,0.174,0.054,0.027,-0.234,0.079,0.126,0.459,0.029,0.025,-0.504,1.061,0.066
4729920,153.781,3.076,13.386,0.004,82.743,0.012,0.201,0.169,0.014,0.022,0.149,0.194,0.005,0.311,0.015,0.03,-0.65,0.937,0.054
4730648,133.866,2.677,11.855,0.001,80.603,0.038,0.021,0.156,0.012,0.015,0.103,0.029,0.035,0.295,0.031,0.023,,,
4732137,186.487,3.73,14.365,0.004,84.032,0.014,0.09,0.144,0.005,0.005,0.172,0.066,0.009,0.399,0.011,0.008,0.156,1.228,0.069
4749874,182.451,3.649,13.688,0.004,81.214,0.069,0.264,0.157,0.039,0.012,0.279,0.249,0.085,0.157,0.022,0.022,,,
4755372,144.41,2.888,11.88,0.004,78.937,0.039,0.034,0.138,0.01,0.033,0.077,0.041,0.051,0.359,0.015,0.046,-0.183,1.194,0.07
4756746,151.135,3.023,11.676,0.003,81.725,0.084,0.048,0.114,0.008,0.024,0.121,0.055,0.069,0.353,0.006,0.051,0.272,1.488,0.087
4774298,174.837,3.497,14.641,0.003,85.108,0.041,0.053,0.176,0.013,0.011,0.268,0.048,0.024,0.0,0.0,0.0,-0.414,0.942,0.051
4818593,84.798,1.696,7.841,0.002,71.981,0.011,0.009,0.149,0.008,0.005,-0.101,0.016,0.022,0.431,0.007,0.005,-0.064,1.27,0.074
4826423,81.839,1.637,7.501,0.002,71.633,0.029,0.126,0.106,0.04,0.006,0.245,0.248,0.066,0.0,0.0,0.0,0.28,1.274,0.076
4833419,79.562,1.591,7.525,0.004,73.072,0.02,0.044,0.11,0.002,0.021,0.265,0.016,0.003,0.209,0.011,0.007,,,
4839278,69.249,1.385,6.801,0.003,70.716,0.011,0.145,0.059,0.016,0.026,-0.024,0.384,0.207,0.0,0.0,0.0,,,
4840662,126.057,2.521,10.536,0.002,79.126,0.015,0.108,0.137,0.012,0.012,0.225,0.139,0.02,0.436,0.01,0.019,0.439,1.198,0.071
4842192,153.357,3.067,12.78,0.005,81.81,0.091,0.007,0.154,0.013,0.041,0.365,0.006,0.059,0.342,0.016,0.05,,,
4848095,169.302,3.386,13.256,0.006,81.916,0.084,0.432,0.134,0.009,0.016,0.274,0.362,0.067,0.389,0.02,0.026,,,
4902442,168.783,3.376,13.306,0.004,80.78,0.034,0.102,0.153,0.023,0.011,0.15,0.07,0.036,0.361,0.012,0.033,0.036,1.27,0.072
