parameter,mean,sd,Q16,Q50,Q84
Pn,134.5695736679909,2.1515006804811634,132.91128463062378,134.44583465657072,136.0535040076674
A1,24511.838890533716,10192.882601158304,9188.715317476279,28262.910041417927,32536.129972303737
b1,1.1747556911686392,0.5789021144283493,0.8608332274503638,0.9231384428283104,1.6110178743056183
A2,435.5129113292417,35.74289674693058,408.62141927431765,444.50928704707746,464.0555081816211
b2,32.5333647065916,3.95963076575931,29.733748900656117,31.203057902202943,35.53024285623501
A3,99.83686516063968,20.411751160811903,86.55463702940983,105.86526418736673,114.60360283930021
b3,102.70860437422249,13.25538712327311,96.97512503169229,98.42420500851735,104.79489960561541
Pg,238.54313322649207,26.597220910438125,217.99310112927645,246.93916534559958,257.3938294299317
numax,133.599191466599,1.0308442673707106,132.9243192753594,133.50458610660024,134.06466438352479
sigmaEnv,12.941056651108786,1.4317064226160632,12.06211963052604,12.518947687849227,13.300668533960184
lnprob,-228516.68483024734,180.36643327949744,-228582.05397974022,-228440.135802019,-228437.44727106794
