parameter,mean,sd,Q16,Q50,Q84
Pn,48.53890437175784,0.540381652934473,47.99936345966948,48.54220625727593,49.07084451360584
A1,8264.332515060103,947.1891646965765,7341.622407809932,8188.22411640287,9197.754554383602
b1,1.0081690105054375,0.06056449586905982,0.9473726985684683,1.006544377565214,1.0686399555705444
A2,697.8609641203745,19.904735159835088,677.9975116677812,697.6408089710288,717.8702076130606
b2,29.14834775845996,0.8429502621413479,28.316184207588094,29.146994869712923,29.9701370195827
A3,117.92461614426588,11.473809174270048,106.73686957055847,117.90975681904504,129.41648582529305
b3,93.82407400448511,3.4994080314997293,90.36810897800363,93.73717059746063,97.24249467560801
Pg,412.9033293071191,10.35230640974408,402.48348161710413,412.6640993597387,423.2244074718327
numax,92.84106705311068,0.2834084019632192,92.56262572675412,92.83393802449818,93.1246118148873
sigmaEnv,12.337816683682181,0.2840469737591263,12.062641214124994,12.33174032744849,12.618911090581037
lnprob,-209607.94719109827,2.332417706607178,-209610.18239115726,-209607.58422736477,-209605.70472605762
