frequency,linewidth,height,snr,AIC,amplitude
58.3163452052082,0.009455296697026222,7.167043155663542,3.996261515800935,12.328699752244574,0.4614052446048802
58.476138598428356,NA,8.512757580437123,NA,4.538121233468701,0.3244220940537214
59.31596402570566,0.007637369477680021,4.683475308263398,2.2870538558532423,2.9927497176468023,0.3352207971043905
60.25655023869343,0.018353761100842435,3.217415556870598,2.4384272932701414,8.79454399534734,0.4307160468944379
61.81501107694931,0.007637369477680021,5.925114378070376,2.927269793874183,3.170082527838531,0.37704675387193926
62.49585381689443,0.003934539302299309,9.056386356117043,NA,17.061701451333647,0.3345795179818094
62.84217857791051,NA,9.003308299184013,NA,8.25785385222116,0.3336386468370817
63.064501244405164,NA,7.226589598304077,NA,3.1399175827682484,0.2989110609170429
64.33767117119683,0.005799523138940476,9.47787385101305,4.150603575000452,6.559205690318777,0.4155531140136038
65.03263441328329,NA,8.298403269902886,NA,3.0748196567510604,0.3203115198880329
65.33947417055651,NA,9.62658936535682,NA,10.260262724936183,0.3449939773827943
65.585226943235,0.005799523138940476,6.3232073371060595,2.7141426593231777,3.6503907940423233,0.3394218454131004
66.00632621013747,0.055859049491952174,1.9969443189882654,2.6441436597632886,26.1292170714878,0.5919767973857866
66.38647994225497,NA,9.104027891480737,NA,6.29313869671023,0.33549965658778685
69.19206176190357,NA,9.769981029462091,NA,12.16283595697314,0.34755388734621995
69.30034570917832,0.014824966293896522,6.824260905500659,4.801483019039113,45.516804284925456,0.563766940224006
69.46170150303814,0.007637369477680021,6.718698638672869,3.3400628220828366,4.958761407018756,0.40150357608934945
69.59749806245597,NA,7.650164440027984,NA,3.1181955929932883,0.30754641957792944
69.64049613367979,NA,8.146051683075619,NA,2.8140337763907155,0.3173575763332756
70.13467322864864,0.009455296697026222,17.500792587253986,10.199364169905976,83.66726026287506,0.7210101454034821
70.44164278769904,0.03220998406428457,9.715246520496805,10.434263939613915,77.4970258996982,0.9915100118517187
70.84700002593226,0.013046749280031694,5.288831498823276,3.437172912958045,6.411332263247459,0.46559248299518746
71.04996006071558,NA,13.511220512322083,NA,24.08116344505106,0.40871688635680453
71.3822290006868,0.003934539302299309,36.01249258755822,NA,97.00022793862445,0.6671883759472087
72.09653069958205,NA,7.356674034840094,NA,3.677541148936143,0.30158938168360677
72.82117448695482,NA,10.910347234325032,NA,11.86435458870983,0.3672777139173171
76.33309701716635,0.009455296697026222,5.1061277122002195,2.7997107390316067,4.500768034515204,0.38945595908110064
76.74438314805211,NA,8.641380736248141,NA,7.95255373002874,0.32686382637297373
76.93337447489483,NA,8.15462846959432,NA,4.489135213923873,0.31752460155032514
77.16348902946936,0.003934539302299309,27.482742352448096,NA,79.45164013878093,0.5828434409490013
77.56884626770258,0.005799523138940476,13.751437815039084,6.134136433609517,35.79991490543034,0.5005473122692029
77.99388104177237,0.003934539302299309,19.362987393518704,NA,33.69227206619689,0.4892243463180089
78.41104480150753,0.003934539302299309,54.95353602310752,NA,173.17633968822338,0.8241755025523173
78.81246653257344,0.01659359922257668,40.388000604639835,32.91478301279692,394.11255855202035,1.451013361724562
79.18240420630084,0.027053500807252575,24.180526987538784,24.80249659917512,393.328625557333,1.433572142896458
79.38117538809017,NA,10.877448166158088,NA,5.984449501193012,0.36672355111714255
79.55234188002825,0.003934539302299309,83.065603509810785,NA,222.70526860348036,1.0132870507865595
79.95769911826147,0.042417202807137844,9.898318286564946,12.286842743787819,185.19201438118034,1.148488514929287
80.3355078063235,0.014824966293896522,12.108852248745393,8.765096145899212,82.68949642495863,0.7509712028982263
