parameter,mean,sd,Q16,Q50,Q84
Pn,25.772609067668277,0.5340940931808905,25.242690224100016,25.774316768210063,26.30675334112279
A1,6705.46255056094,999.3674673200113,5883.993544802214,6718.55995718654,7617.285617673356
b1,1.1909051397600394,0.10144582040664514,1.0977071877797027,1.1788415112637634,1.2794530033508353
A2,918.4338792521278,22.6467015237704,896.3983581282718,917.7992775587446,941.0668772954168
b2,35.01115648458561,0.6594109778708697,34.35224939766367,35.015273573148754,35.66375015087618
A3,205.9761644506243,6.598166480125612,199.47865650533097,205.85707354437832,212.4946147874849
b3,122.64954422278774,2.3497723651007303,120.33204628195188,122.64313624711843,124.96900769936002
Pg,449.8779419095403,11.25399102010017,438.65425639352264,449.69771313870723,460.9730072234535
numax,140.37234065108,0.23922614467928188,140.132373493802,140.37501942980234,140.6087818566662
sigmaEnv,11.60249996809632,0.2537442353239922,11.349879330001613,11.602685365715912,11.85039996956395
lnprob,-214361.84547834165,3.5956575019631205,-214363.99928926292,-214361.0666169111,-214359.13395237233
