parameter,mean,sd,Q16,Q50,Q84
Pn,17.005115799150904,0.6308181237114603,16.3814497263832,17.006063337154,17.630898653227362
A1,2591.5980215171494,345.4630040515043,2251.8636977487067,2566.2505182448144,2927.51834365213
b1,1.5403123101109488,0.18271924925121016,1.3597230467846408,1.52332273539225,1.7219855020649657
A2,715.0175842023332,16.40554192890806,698.511278554394,714.989742507436,731.4105570099684
b2,42.01705851547202,0.736688534752821,41.286115858431806,42.00764029477356,42.75108389894527
A3,152.88428166826625,4.304804877130724,148.6378399163579,152.83395202365438,157.1330305996658
b3,154.4194611791206,3.091943561994665,151.38516286826933,154.41250326153133,157.45908934070064
Pg,395.70991141429556,9.826591961416288,386.0302951403544,395.47212147368066,405.517723768802
numax,163.17138595791263,0.23074009516326557,162.94261518512602,163.17021741350464,163.40383411172604
sigmaEnv,12.364769977293196,0.2358314747711121,12.13016200097169,12.364964626617876,12.59755262661319
lnprob,-212775.0143469061,2.256141099304867,-212777.17665591065,-212774.6804011158,-212772.8509323257
