frequency,height,linewidth,snr,AIC,amplitude
143.29081821725407,8.436790279304788,NA,NA,5.639972443656006,0.3229725689732799
143.41293190595982,8.2542138150806,NA,NA,7.166114432431641,0.3194588091750509
143.4837766718766,11.543148181561275,NA,NA,22.819788070817594,0.3777801603211971
147.5685906434438,9.010670043221763,NA,NA,6.496745573524095,0.3337763449455033
149.66065268111421,18.965232618251562,0.003934569140767417,NA,38.928793144164956,0.48417528181837394
150.49105127465975,8.596338611505212,0.027053705973590757,8.37720494326245,105.73528388180421,0.8547617435024291
150.75473234464815,13.817227608735486,0.005799567120935046,6.164940480049693,70.4789360304494,0.501745148340977
150.84524972688297,3.6637779644889363,0.007637427397397703,1.7674863251209578,12.430855796585092,0.29649205273586965
152.00825523780998,9.35210001808195,NA,NA,11.600173400795029,0.3400412332433466
152.14397738503476,5.31623576777937,0.009455368403405872,2.920740836795864,2.674948055871937,0.3973894015398918
153.24002902133145,12.955738338384606,NA,NA,34.163128373387735,0.4002285774396446
153.55887995108864,9.337570263666096,NA,NA,12.113882506338996,0.3397769805027494
153.67715673364702,9.256596788332997,NA,NA,6.843773098073143,0.3383005348753023
155.2707024178126,9.18279969968087,NA,NA,7.570598998630885,0.3369493064883296
155.7902172307263,10.642582705988294,NA,NA,18.79724752803304,0.3627442425707495
160.57783608630533,5.582303117204057,0.011257591679742844,3.367776021051807,12.529401803280052,0.4443287245337434
161.0501006892696,6.543905060716655,0.005799567120935046,2.8136503767684693,2.3499270660831826,0.345295740378489
163.01393432992944,19.615515239758057,0.007637427397397703,10.282853163091715,50.94165360213083,0.6860382711963912
163.46652124110355,9.683051625942852,0.027053705973590757,9.492010808404963,82.85640012058866,0.9071820383359267
164.4740190607607,9.553341940109279,0.03221022833597903,10.251840989800643,209.33183952047693,0.9832172726523842
164.7377001307491,23.24691329720237,0.020106489255869994,20.37974544808671,250.88383697312383,1.2117853767706783
165.77668225727052,7.804699924948906,0.021852212033263357,6.770315662826945,49.97667449466826,0.7319825776044178
166.24501132187677,5.705499815367163,0.011257591679742844,3.4458231687119616,12.982091006371775,0.4492049469942284
166.5337820288395,7.731521992970357,NA,NA,3.433066465986485,0.3091786588487577
167.65992173758264,7.874932618132849,NA,NA,4.7179871090338565,0.31203293375724395
167.8349688185232,12.570985683625892,0.005799567120935046,5.582699501698415,29.194463321189687,0.4785831366871266
168.35266535695015,8.075951876613725,NA,NA,3.7235129424007027,0.3159903881376484
168.97832629762118,9.06347458940761,NA,NA,8.666495901816234,0.3347529183991617
169.33245226974347,9.664253106518062,NA,NA,12.005584351893049,0.3456695776144929
169.41705523845357,7.494066190393156,0.007637427397397703,3.745726463831331,7.10695431320346,0.4240404102990633
169.49384031927892,11.016821255666626,NA,NA,16.922298033292464,0.3690669559197195
172.43353870363563,9.030079064849769,NA,NA,8.569513613438176,0.3341356294083963
174.23021865033127,6.135011948660473,0.009455368403405872,3.394573184541018,7.776192288816674,0.42689578829144725
174.8166138656786,28.74304520816224,0.003934569140767417,NA,66.60023425842519,0.5960599143213662
175.32823385222324,7.817019685660256,0.016593725063886976,5.872979289297705,18.923774057024275,0.6383626725055946
175.59022486386618,9.772702673408043,NA,NA,9.653342284196697,0.34760367083224086
176.70387414179464,7.604415819358321,NA,NA,2.5859465940884547,0.30662667913284125
177.09529057498128,10.818773048874595,0.01835390029073818,8.706903674608897,91.8631840976741,0.789819997729297
177.21729226408038,11.898444077703825,0.011257591679742844,7.452422868775527,31.948612793064967,0.6486983144302836
