parameter,mean,sd,Q16,Q50,Q84
Pn,26.558284692194274,0.37399055498964684,26.176931052518466,26.567094151089822,26.93452171042306
A1,2650.571131198956,338.72194775024695,2320.4131263190666,2629.4058830161084,2981.600204288901
b1,1.3928374150759373,0.12879522023976328,1.2669082404726273,1.384972244447434,1.5185318501437632
A2,598.1049686306656,16.24893330396888,581.9825464602876,598.1488097114161,614.1953405718968
b2,34.44813084942126,0.8569625404357737,33.585464194226454,34.46616079446335,35.2959361937667
A3,113.87999588648452,10.809945161081592,103.09034440633809,113.04741946119832,124.76091272069677
b3,93.20503917109282,4.887749759905486,88.15686374471544,93.1940984467966,98.19731425284299
Pg,340.33168726721095,7.479943021220585,332.95143592050994,340.1992598813455,347.7806223933519
numax,122.7280449221737,0.22476098059720867,122.50164035492688,122.73031600075697,122.95193022349095
sigmaEnv,14.038182414628805,0.2718858664859517,13.766785031399897,14.04084486473198,14.311148488809312
lnprob,-200412.57530914404,2.245757586151684,-200414.73690583374,-200412.24754868168,-200410.42899420898
