frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,convergence,height,AIC,n,l
80.64692162880496,0.4812382231083183,NA,0.0030197214226582816,0.2681876718506809,NA,0,9.365628217366078,8.72739002084927,NA,NA
80.7415018829015,0.34812527969194434,0.019977106009673947,0.01644319099756398,0.1072993436942618,0.018882139566094833,0,1.9310284661690236,2.31508855404536,NA,NA
81.41263268780725,0.4050952695644708,NA,0.002258573771925323,0.21723540398831928,NA,0,6.63637667613682,2.7272787331712607,NA,NA
81.81316972893589,0.4270046502563582,NA,0.002775240239419679,0.225674266201523,NA,0,7.373639383055606,5.9655602805542,NA,NA
83.54373433053222,0.28112160712435874,0.00459133206719025,0.006556320490546173,0.11791842411074564,0.004668930838117061,0,5.478982042582724,3.5703579179062217,NA,NA
86.89654667050766,0.3999529455423329,NA,0.002480731620484062,0.2310834331539649,NA,0,6.468960270110646,4.8972116953846125,NA,NA
87.63373777406275,0.45918196238909237,NA,0.0018254277553143169,0.19265463986734163,NA,0,8.526804862333325,6.539690896268439,NA,NA
88.18167185212953,0.45119482395057753,NA,0.0019640325813841323,0.2165852113700261,NA,0,8.232749521468415,5.55210416951013,NA,NA
88.47504929326756,0.4454071274496063,0.03411550995433108,0.01980367310174375,0.11118515115413047,0.027977100641462353,0,1.8510262796256638,6.834887938697648,NA,NA
88.93629912626521,0.285408917870431,0.0019677659951859994,0.0035859698682879767,0.1826784329002074,0.0035968116636959377,0,13.176854604144342,10.116930631735158,NA,NA
89.17501096375896,0.529771259212326,0.026431282648901648,0.01374788962768412,0.10884221304245478,0.017722034734199123,0,3.3799375455630525,18.025539371523337,NA,NA
89.41294432788926,0.4889942591533312,0.025075088780423374,0.01562603828977369,0.10508156778796203,0.015868685248731272,0,3.0353946821484197,13.123428278398933,NA,NA
90.23526476256225,0.3936752061198055,0.014657589266830499,0.011218082151609325,0.10230209291236682,0.01111156542009349,0,3.3656093584855338,7.771557956322795,NA,NA
93.63757018880817,0.5326762296200724,NA,0.0015367813197370006,0.21836090911984618,NA,0,11.474752284716454,7.916486031510431,NA,NA
98.64684542997553,0.4701786905519915,0.012191511236467082,0.0073579951096239245,0.11826235169436329,0.011642917789952415,0,5.7718956155624195,18.33141680393601,NA,NA
98.82907908904856,0.550302338612322,NA,0.00193997183801404,0.3034045428905513,NA,0,12.24670908645857,11.013209352222475,NA,NA
98.88891596107003,0.5017420555969375,0.009294342883453188,0.005612128380132657,0.12536427255632465,0.008227466845218441,0,8.621690856787215,25.88261811427219,NA,NA
99.32535012847458,0.41778844162858575,0.006662775005171136,0.005954014825752414,0.11652991880390598,0.004495561348517949,0,8.338881859251085,16.256003843929648,NA,NA
99.56355475260601,0.43581560323411817,0.009682192414026005,0.00644803427920595,0.11689564630653673,0.008729841286940055,0,6.244274235473041,13.67526133649153,NA,NA
99.75942130286369,0.5682530833974088,0.018060802279015346,0.009988286111539976,0.11513941038244599,0.01074315455710214,0,5.691106213592248,25.82585689158077,NA,NA
99.90516809389494,0.5432646496684186,0.015897236857034446,0.009573833699791189,0.11708095392595153,0.010367537368807692,0,5.90950868181959,20.99268460868916,NA,NA
100.13156739121077,0.901773811080858,0.014199705616606582,0.00611185101503409,0.15487040778269096,0.007330925388502141,0,18.22913342119362,117.67235795349188,NA,NA
100.31746134046206,0.3829391529233484,0.0031354473699283635,0.003714414509647018,0.16584153079940875,0.0036139910353413553,0,14.887101744855975,17.16679802411454,NA,NA
100.51716698624341,0.42413087566790175,NA,0.00179959215790531,0.17275162543011727,NA,0,7.274723028409398,3.3972952839721984,NA,NA
100.76608202149397,0.5765237040849711,0.0344712424624424,0.017587528898319767,0.11054750888932859,0.022572139177419077,0,3.0692165166823817,22.714582346667157,NA,NA
100.96234562443067,0.2996790888153891,0.0019677659951859994,0.002565470635952019,0.12330914578743922,0.001600163623548755,0,14.527455543854716,18.371414026136335,NA,NA
101.43513938275368,0.46027757947810977,0.0019677659951859994,0.0019954821114965588,0.18330335340414222,0.0021480824620424064,0,34.27017460210084,67.91461007793623,NA,NA
101.93414365090932,0.40273784096791404,0.0019677659951859994,0.0020091245744110297,0.19780218178792852,0.001849193779865222,0,26.23744559664392,10.083759810568154,NA,NA
102.0122902854633,0.5104398316118035,NA,0.0017663658813597222,0.27907414149515364,NA,0,10.536728704306512,2.064680232793762,NA,NA
102.19596461532556,0.4223152567943452,0.018099567542649485,0.012665339845214592,0.10418193636334493,0.013700201933043927,0,3.1365735191323445,9.523837606771849,NA,NA
104.14291462486005,0.4061462406091109,NA,0.003319857802812188,0.2353634798693605,NA,0,6.670855909469674,4.709063972575677,NA,NA
104.5975998755327,0.33887721712002206,0.0019677659951859994,0.0024598066651947493,0.15692406876564577,0.002310506391961527,0,18.576394266997397,26.60079595165007,NA,NA
106.27966340723745,0.47232593728925737,0.006701197251820282,0.0047535107582122186,0.12745750810506917,0.005069527658829529,0,10.596960504926724,24.255876774695935,NA,NA
107.14788935837787,0.5246560419946894,0.004668353140081043,0.004153584999778181,0.1462273846977597,0.0032717557260889714,0,18.768768752787672,38.82633154137511,NA,NA
107.24756356806259,0.36400335970034575,0.0019677659951859994,0.00218706207991162,0.2057864987909625,0.0022242443899489757,0,21.433221901683265,2.3904383465887804,NA,NA
107.29465164746719,0.34718272774785647,0.01144384737835365,0.011343392527297444,0.10582381759807737,0.008851385975066852,0,3.3526968942287314,4.418948916445515,NA,NA
108.00979922843557,0.48156040846518955,0.005445473486158177,0.003707067646420317,0.14260994074515287,0.0055965450888531085,0,13.555515183820987,26.575138684973354,NA,NA
108.18415668971112,0.4176837329739431,NA,0.0017482027705600736,0.16743993874387408,NA,0,7.055240262093214,3.713077397824236,NA,NA
108.88558484119403,0.6355305994721214,0.0051421215039238475,0.003262409505520398,0.18134290495413724,0.005077117870549553,0,25.002343895823703,51.32760855764354,NA,NA
109.0671087221622,0.47416216265516753,0.05083597893239902,0.033438353470307706,0.11299790079955724,0.03335873085374292,0,1.4077733074727612,6.268157059130317,NA,NA
109.49714828015503,0.5613923981140794,0.007714035489860259,0.004817959148458785,0.13653964535432675,0.005405836520599849,0,13.004736281677564,36.706120771828864,NA,NA
109.75943294683037,0.7457744973276467,0.005983215162193483,0.0036532385761341717,0.1870064721155157,0.0038909146844175184,0,29.589018721492835,84.93619299262355,NA,NA
110.01161383210187,0.6586388893604623,NA,0.0013922558402491415,0.24916049501681703,NA,0,17.54330544172807,24.053451175419468,NA,NA
110.37063552903054,0.5759458716711275,0.005568077222188057,0.003991432214272519,0.16252374773965678,0.004184815207568826,0,18.96305116453325,34.48711282520162,NA,NA
110.58209451795585,1.1437722829103787,0.017637806321163997,0.006759833452076449,0.17129947959107772,0.007290133107280245,0,23.609386074510336,175.09411690492925,NA,NA
110.8145134766913,0.7755561924666633,0.018651553923402495,0.008556502747032424,0.1397628612506531,0.010866371125586265,0,10.26506365441602,49.29490663292745,NA,NA
111.1240746162671,1.2322240772465465,0.024226113262184188,0.00911676953028131,0.17377248280237506,0.009920681852749798,0,19.95013160839959,123.08421267145604,NA,NA
111.31752595185125,1.7036725182687336,0.022521109144564927,0.007407803014397854,0.22223231203040014,0.008281477511128456,0,41.02348842925756,309.6594992823266,NA,NA
111.52628359863607,1.1414504906558032,0.017129542599660378,0.0072477658023897065,0.18545030493321593,0.008292740193280109,0,24.21132286204119,119.63862332660938,NA,NA
111.80218257676424,0.7694645857377442,0.009776104686256528,0.0058964577205392835,0.17071196839795336,0.005960792306286867,0,19.27798138733897,62.34068593712436,NA,NA
112.01322059368705,1.5966781785916835,0.01115466822065765,0.0045586293167228925,0.27712554779191373,0.005054422743622633,0,72.7492046796351,421.55845163028425,NA,NA
112.24072967563164,1.0038459580759658,0.0056906693978155025,0.0037617662254204555,0.23883448592961903,0.0032383364345143825,0,56.36648080603105,156.89874465791218,NA,NA
112.39875956835503,0.30233100496556065,0.006402768752539016,0.007406875861295791,0.13301728134269972,0.008471453614665975,0,4.544097967574525,2.3420067033730447,NA,NA
112.59955682658861,0.6524175299059618,0.009407788277917412,0.005529283637463689,0.14263174889132524,0.005567109755835542,0,14.401702507181044,52.1381516646361,NA,NA
112.85708868117055,0.8243018114671113,0.005268209142188841,0.003514679626455927,0.21245043767787758,0.0036134732165211524,0,41.0543923174802,93.84999258636162,NA,NA
