parameter,mean,sd,Q16,Q50,Q84
Pn,60.08916628922525,0.6449990143305325,59.45046553927676,60.085666173487084,60.7277383882732
A1,16170.77399550225,2102.6667104637277,14137.708067453515,15988.854256386396,18214.35760589259
b1,0.982260664591941,0.07971133795143849,0.9045009686166685,0.9782062598243714,1.0615648359251462
A2,2296.5582169196923,76.35598323925308,2221.144641503777,2294.3460510815794,2372.5994514981357
b2,23.863532490145328,0.6979617464884635,23.15906056555732,23.87019748019545,24.556995632836006
A3,535.4353742828715,33.60930466668012,502.27094145978015,535.3030781849436,568.688808635421
b3,72.67662419097616,1.6095116259684035,71.07209472486109,72.6779376248662,74.27946145160382
Pg,911.499876457521,25.95392214882147,885.6330780793237,911.3841111780089,937.1948344924954
numax,85.08591767428133,0.26432293172301247,84.82230684902783,85.0878762187675,85.34809952792223
sigmaEnv,10.79628918157588,0.2976140556620361,10.501016453883596,10.788080647913798,11.093746748622506
lnprob,-206098.15476267965,2.252673666573881,-206100.34128906805,-206097.8045132315,-206095.99808598714
