1723752,83.938,0.16,0.206,0.671,0.248,1011.93,59.69,243.21
1430118,83.029,0.155,0.33,0.279,0.274,10.79,577.43,847.47
2018537,80.471,0.218,0.5,0.181,0.263,301.51,43.92,240.7
1726291,82.546,0.176,0.29,0.541,0.188,360.46,150.53,83.77
1569842,80.708,0.155,0.195,0.366,0.098,475.08,184.15,142.42
1996415,79.149,0.126,0.269,0.521,0.176,2656.29,2.77,11.64
1430985,76.378,0.18,-0.063,0.73,0.619,27.23,259.84,27.23
2011891,76.816,0.119,0.189,0.294,0.123,2009.57,19.01,15.76
1723843,72.163,0.186,-0.167,0.997,0.232,146.39,21.0,209.05
1996078,71.478,0.137,0.193,0.6,0.338,209.23,75.02,67.97
1433803,80.221,0.138,0.039,0.399,0.24,8.92,165.68,185.36
1870196,85.21,0.147,0.124,0.333,0.276,328.6,52.02,106.37
2020383,76.703,0.108,0.209,0.949,0.43,205.59,205.59,280.14
1719422,76.931,0.139,0.414,0.268,0.141,0.0,1111.94,496.09
2303101,84.329,0.143,0.268,0.533,0.08,10164.44,0.0,0.0
2160910,77.491,0.142,0.116,0.455,0.149,58.78,282.19,295.71
2285827,82.283,0.141,0.172,0.396,0.151,136.66,355.44,353.07
2141436,78.203,0.133,-0.176,0.669,0.29,228.17,162.18,9.29
2161831,81.265,0.165,0.309,0.332,0.128,0.0,594.07,1206.31
1027337,70.157,0.068,0.196,0.419,0.385,246.7,7.99,39.84
2157650,77.759,0.124,0.019,0.065,0.169,304.37,22.25,216.27
2141255,81.971,0.171,-0.337,0.064,0.204,127.93,205.87,143.39
2436457,75.936,0.131,0.189,0.187,0.176,280.53,263.79,98.94
2305992,74.575,0.136,0.12,0.064,0.24,489.6,25.26,80.08
2557392,87.74,0.163,0.321,0.521,0.249,1313.34,0.0,1135.4
2442483,75.552,0.151,-0.073,0.281,0.274,151.77,151.77,530.55
2568912,80.533,0.184,0.182,0.063,0.225,61.82,79.96,88.41
2422558,74.404,0.135,0.119,0.407,0.307,31.88,282.14,202.31
2161409,72.375,0.129,0.25,0.331,0.31,104.99,126.59,150.43
2696739,86.083,0.216,0.061,0.109,0.088,163.09,145.97,163.09
2447476,70.96,0.101,0.144,0.643,0.227,809.6,2.04,7.98
2719701,81.14,0.138,0.173,0.366,0.108,1676.67,219.08,233.71
2692629,88.047,0.159,0.123,0.207,0.345,66.89,126.85,130.32
2715975,76.358,0.113,0.017,0.974,0.393,501.21,72.67,51.62
2584478,80.71,0.153,0.245,0.329,0.313,219.98,119.4,161.62
2578581,86.518,0.175,0.207,0.273,0.243,0.0,299.75,672.51
2579661,76.775,0.155,-0.016,0.581,0.128,2125.46,643.28,19.52
2833772,74.538,0.208,0.167,0.807,0.603,106.87,513.88,125.32
2696732,74.513,0.3,-0.176,0.206,0.522,135.8,115.86,168.38
2583386,87.975,0.135,-0.047,0.05,0.372,313.09,82.45,200.6
2970784,80.674,0.179,-0.38,0.05,0.294,113.1,139.65,214.95
2974827,82.543,0.151,0.163,0.461,0.252,1584.9,127.27,47.54
2853354,76.417,0.118,0.008,0.424,0.237,32.15,247.7,695.84
2971432,83.595,0.147,0.2,0.052,0.133,48.87,215.92,4.41
2835067,75.175,0.067,0.261,0.061,0.633,87.59,31.68,156.41
2835657,69.922,0.112,0.05,0.393,0.195,1116.57,42.86,100.9
2449558,69.649,0.201,0.275,0.253,0.39,97.53,79.33,112.61
2988295,88.992,0.199,0.211,0.082,0.161,209.41,211.08,195.47
3097819,81.644,0.129,0.128,0.265,0.149,43.9,646.14,416.63
3096636,81.77,0.151,0.319,0.243,0.232,786.41,10.92,46.36
2972545,80.338,0.14,0.268,0.502,0.233,1296.95,59.09,106.52
3100164,107.602,0.074,-0.049,0.485,0.577,114.78,131.0,171.84
3109742,70.506,0.17,0.1,0.092,0.627,155.74,104.7,483.42
3111456,86.957,0.228,0.172,0.326,0.156,587.05,2007.79,345.87
3098179,80.865,0.143,0.241,0.324,0.089,1478.13,163.8,115.23
2998532,75.152,0.125,0.125,0.296,0.238,16.58,169.63,158.76
2972876,91.336,0.109,0.015,0.053,0.345,98.15,115.69,113.18
3115292,80.576,0.137,0.167,0.325,0.132,0.0,1690.31,1699.56
3111831,78.131,0.121,0.437,0.37,0.362,159.74,166.63,672.1
3113648,74.005,0.099,0.265,0.273,0.316,55.22,271.93,274.62
3222834,84.404,0.153,0.34,0.435,0.131,24.23,618.06,312.3
3216334,76.477,0.167,-0.441,0.752,0.497,134.13,507.44,149.49
3129312,82.599,0.141,0.275,0.301,0.174,125.5,747.99,437.13
3123653,74.308,0.171,-0.286,0.596,0.312,394.73,19.33,404.97
3119555,69.618,0.135,0.428,0.457,0.284,18.09,58.75,766.96
3247146,69.7,0.142,0.197,0.764,0.523,1211.23,131.0,4.47
3221086,72.889,0.131,0.099,0.857,0.198,1480.63,29.27,44.58
3346725,88.489,0.069,-0.012,0.235,0.64,163.22,219.26,150.24
3337536,77.322,0.142,-0.432,0.362,0.174,0.0,22.71,1284.55
3218312,71.339,0.268,-0.146,0.056,0.29,64.99,142.0,336.5
3343630,72.471,0.135,-0.161,0.502,0.502,50.31,76.68,315.91
3428577,81.081,0.163,0.037,0.564,0.134,3021.32,813.41,0.0
3427908,79.326,0.16,0.166,0.22,0.284,0.0,798.54,906.69
3426673,80.312,0.169,0.484,0.918,0.328,1383.68,23.78,194.71
3430007,78.027,0.168,-0.095,0.057,0.387,143.8,104.56,85.21
3430674,80.268,0.153,0.205,0.551,0.14,0.0,445.13,492.79
3441207,83.463,0.137,0.214,0.266,0.162,42.93,741.78,414.45
3347431,71.734,0.154,-0.281,0.879,0.518,319.11,54.91,12.61
3525569,81.894,0.171,0.401,0.602,0.159,2524.61,0.0,2524.61
3432802,77.605,0.146,0.145,0.542,0.154,728.23,89.73,156.6
