 KIC incl e_incl_pos e_incl_neg n_comp
 8815517 75.2 14.8  8.0 2
 8816007 73.2 16.8  7.4 2
 8819552 25.4 10.8 25.4 1
 8823626 76.0 14.0  5.1 2
 8827853 20.1  8.5 20.1 1
 8838230 40.2 18.7 18.7 3
 8866860 76.3 13.7  5.7 2
 8867239 32.4 14.1 32.4 1
 8869611 49.3 14.1 14.1 3
 8872890 71.5 18.5  7.0 2
 8892050 33.4 14.6 33.4 1
 8893087 68.9 21.1  8.7 2
 8914107 47.8 19.7 19.7 3
 8936347 31.3 13.6 31.3 1
 8946951 33.6 14.7 33.6 1
 8957693 69.7 20.3  8.5 2
 8957944 69.5  6.2  6.2 2
 8958065 58.1 10.2 10.2 3
 8981783 65.7 10.9 10.9 3
 8984355 55.9 13.3 13.3 3
 9018640 74.5 15.5  6.9 2
 9018790 65.7 24.3  8.0 2
 9031549 77.5 12.6  7.4 2
 9031798 48.6 17.9 17.9 3
 9071153 71.0  7.1  7.1 2
 9074137 34.7 17.2 17.2 3
 9074792 76.4 13.6  6.8 2
 9075872 56.0 16.3 16.3 3
 9084281 65.9 24.1  8.2 2
 9086187 17.3  7.3 17.3 1
 9091127 67.7 22.3 10.7 2
 9100548 41.0 19.4 19.4 3
 9109244 40.5 16.3 16.3 3
 9119915 75.2 14.8  6.5 2
 9137958 66.7 23.3  9.4 2
 9145781 83.6  6.4  2.6 2
 9145861 74.7  6.7  6.7 2
 9146372 75.2 14.8  5.3 2
 9152245 64.5 10.9 10.9 3
 9157260 67.0  7.9  7.9 3
 9163153 12.1  5.0 12.1 1
 9163621 65.8 24.2 10.1 2
 9164696 74.3 15.7  6.8 2
 9172127 48.5 10.2 10.2 3
 9202597 53.0 11.4 11.4 3
 9209366 20.3  8.6 20.3 1
 9209565 78.1 11.9  5.8 2
 9210548 51.9 17.8 17.8 3
 9211160 65.1  9.1  9.1 3
 9211176 67.8 22.2  8.9 2
 9214512 70.4 19.6  8.9 2
 9224602 56.0  9.4  9.4 3
 9225958 75.8  7.8  7.8 2
 9228469 20.2  8.5 20.2 1
 9245197 78.5 11.5  4.2 2
 9267654 72.4 17.6  6.0 2
 9269234 54.0 10.1 10.1 3
 9273251 55.5 15.1 15.1 3
 9285116 57.7 11.7 11.7 3
 9285727 78.2 11.8  7.6 2
 9289780 32.6 13.9 13.9 3
 9290593 60.2 29.8  9.1 2
 9300159 71.0  7.7  7.7 3
 9305599 49.5 13.5 13.5 3
 9326896 48.5 14.1 14.1 3
 9335518 17.3  7.2 17.3 1
 9340325 76.2 13.8  6.1 2
 9368528 39.4 17.6 39.4 1
 9368745 67.3  6.9  6.9 2
 9388523 43.7 14.7 14.7 3
 9402439 58.1 13.9 13.9 3
 9414008 69.4 20.6  5.4 2
 9418101 74.2 15.8  7.6 2
 9426610 48.9 11.6 11.6 3
 9427899 69.0 21.0  8.6 2
 9456242 42.2 20.3 20.3 3
 9457533 78.0 11.9  6.4 2
 9472076 56.3  9.6  9.6 3
 9474201 32.7 14.2 32.7 1
 9475697 20.2  8.5 20.2 1
 9512519 54.5 10.8 10.8 3
 9512635 76.7 13.3  7.2 2
 9513889 73.6 16.4  5.7 2
 9520216 51.5 15.6 15.6 3
 9521171 75.6 14.4  5.6 2
 9531084 78.1 11.9  6.0 2
 9531103 69.8 20.1  5.7 2
 9534288 68.9  6.7  6.7 2
 9534802 78.1 11.9  6.3 2
 9534964 41.7 19.2 19.2 3
 9541946 55.7 14.7 14.7 3
 9574650 71.9 18.1 10.6 2
 9575847 76.7 13.3  7.9 2
 9593478 64.4 25.6 10.3 2
 9596479 57.2  9.8  9.8 3
 9602686 68.3 10.3 10.3 2
 9631875 76.0 14.0  6.4 2
 9635649 61.6 12.0 12.0 3
 9641694 24.7 10.5 24.7 1
 9642805 31.6 13.7 31.6 1
 9649838 61.2  8.7  8.7 3
 9650424 46.4 13.5 13.5 3
 9652704 50.8 16.7 16.7 3
 9662723 65.3  8.9  8.9 2
 9663247 70.9 19.1  9.4 2
 9663257 29.4 12.7 29.4 1
 9665890 27.5 11.8 27.5 1
 9692431 55.2 10.7 10.7 3
 9698133 71.6 18.4  7.8 2
 9699882 74.4 15.6  6.4 2
 9700053 45.2 13.9 13.9 3
 9700142 53.5 12.8 12.8 3
 9706819 32.8 14.3 32.8 1
 9707138 66.7 23.3 10.7 2
 9712445 44.9 17.9 17.9 3
 9712824 58.3 12.0 12.0 3
 9713043 71.0 19.0  6.2 2
 9713617 53.1 16.4 16.4 3
 9724451 42.1 19.1 19.1 3
 9726669 40.3 18.1 40.3 1
 9726997 74.7 15.3  5.6 2
 9754133 75.2  6.8  6.8 2
 9758193 34.2 14.9 34.2 1
 9760514 67.0  7.5  7.5 2
 9763796 57.5 12.2 12.2 3
 9767815 26.3 11.2 26.3 1
 9768134 52.7 10.5 10.5 3
 9772366 68.9 21.1  7.3 2
 9777479 62.4  7.5  7.5 2
 9778887 23.2  9.9 23.2 1
 9784586 54.0  7.6  7.6 3
 9789635 70.5 19.5  6.2 2
 9811950 71.9  8.8  8.8 2
 9818288 73.8 16.1  6.7 2
 9824874 59.3 21.0 21.0 2
 9825272 37.4 16.6 37.4 1
 9837129 64.1 25.9  6.9 2
 9844539 24.8 10.5 24.8 1
 9873127 64.6  9.2  9.2 3
 9873753 71.1 18.9  8.4 2
 9881708 52.2 11.0 11.0 3
 9882316 17.6  7.4 17.6 1
 9882766 45.0 14.0 14.0 3
 9885121 48.8  7.1  7.1 3
 9887670 29.7 12.8 29.7 1
 9893850 43.6 12.3 12.3 3
 9896174 74.1 15.9  4.6 2
 9897206 71.8 18.2  8.0 2
 9904059 75.8 14.2  8.1 2
 9904365 70.3 19.7 10.8 2
 9906240 32.9 14.3 32.9 1
 9932463 71.8 18.2  7.1 2
 9934955 26.2 11.2 26.2 1
 9936310 69.4  9.1  9.1 3
 9941141 74.3 15.7  7.0 2
 9946213 32.0 13.9 32.0 1
 9962982 63.1 11.4 11.4 3
 9964436 69.4  9.0  9.0 2
 9967700 65.9 10.1 10.1 3
 9969088 33.7 14.7 33.7 1
10000547 75.4 14.6  7.3 2
10006097 45.4  9.8  9.8 3
10018811 69.6 20.4  7.4 2
10019661 28.9 12.4 28.9 1
10030919 57.3  8.3  8.3 2
10031345 67.9 22.1  7.7 2
10034889 69.2 20.8 10.1 2
10068556 69.9  6.3  6.3 2
10069788 28.1 12.1 28.1 1
10088999 44.4 11.8 11.8 3
10090039 34.0 14.8 34.0 1
10122250 74.3 15.7  7.4 2
10123207 13.5  5.6 13.5 1
10133033 74.5 15.5  6.0 2
10145736 39.4 13.0 13.0 3
10146803 72.2 17.8  8.6 2
10147167 25.5 10.9 25.5 1
10148629 75.1 14.9  6.2 2
10149324 65.6 24.4  6.7 2
10158595 34.8 15.2 34.8 1
10188953 70.6 19.4  9.4 2
10192458 72.7  6.2  6.2 2
10192691 71.5 18.5  8.7 2
10202184 58.1 12.5 12.5 3
10223473 29.4 12.7 29.4 1
10229696 71.7 18.3  7.2 2
10257419 17.6  7.4 17.6 1
10257635 66.2 23.8  7.3 2
10263598 23.3  9.9 23.3 1
10272641 78.0 12.0  6.3 2
10272966 71.3 18.6  7.8 2
10274503 28.0 12.1 28.0 1
10286995 36.5 16.1 36.5 1
10322666 35.3 15.5 35.3 1
10328727 70.9 10.4 10.4 2
10333131 35.5 17.5 17.5 3
10339303 39.5 17.6 39.5 1
10351142 68.2 21.8 10.6 2
10382727 64.0 16.2 16.2 3
10386904 56.9 16.6 16.6 3
10387370 69.8 20.2  8.3 2
10387999 70.8 19.2  6.7 2
10397623 39.0 17.3 39.0 1
10420629 50.7 11.1 11.1 3
10422287 49.9 19.1 19.1 3
10424379 24.6 10.5 24.6 1
10427256 50.6 11.7 11.7 3
10448558 21.3  9.0 21.3 1
10449846 54.9 14.8 14.8 3
10452960 56.3 16.4 16.4 2
10460225 70.2 19.8  7.0 2
10472755 49.5 11.0 11.0 3
10482211 77.9 12.1  5.3 2
10517360 68.3 21.7  9.9 2
10521711 26.9 11.5 26.9 1
10525595 51.2 12.6 12.6 3
10537820 16.0  6.7 16.0 1
10545089 75.3 14.7  9.0 2
10556924 37.0 16.3 37.0 1
10580260 34.1 14.9 34.1 1
10581491 69.3 20.7 11.7 2
10587201 72.2 17.8  5.8 2
10590005 75.2 14.8  5.4 2
10593078 65.1 10.3 10.3 3
10593799 49.3 11.1 11.1 3
10599977 64.0 26.0  9.6 2
10611263 35.7 17.8 17.8 3
10645209 70.6 19.4  7.8 2
10651646 73.9 16.1  6.2 2
10658641 59.4 14.2 14.2 2
10666682 51.3  8.4  8.4 3
10667545 68.0 22.0 10.0 2
10668065 72.6 17.4  8.8 2
10669590 74.8 15.2  6.0 2
10675052 36.2 14.8 14.8 3
10684749 26.7 11.4 26.7 1
10712314 64.1 25.9  7.1 2
10722175 64.4 13.1 13.1 3
10727457 67.6 22.4  6.6 2
10732050 71.0 19.0  6.8 2
10732952 76.5 13.6  8.7 2
10751237 48.6 16.3 16.3 3
10779537 19.0  8.0 19.0 1
10782351 59.2 12.7 12.7 3
10790401 67.2 22.8  8.0 2
10792866 75.4 14.6  6.2 2
10793872 70.3  9.2  9.2 2
10796857 66.5  9.0  9.0 3
10798647 71.9  8.1  8.1 2
10799729 60.0 15.6 15.6 2
10809296 28.1 12.1 28.1 1
10813626 78.3 11.7  5.1 2
10847321 65.5 24.5  6.6 2
10854977 63.4  8.7  8.7 3
10858675 20.8  8.8 20.8 1
10861311 67.5 22.5  5.8 2
10862184 72.3 17.6  5.9 2
10866415 73.4 16.6  4.5 2
10873513 72.7 17.3  8.2 2
10876892 67.4 22.6  8.7 2
10881317 34.3 15.0 34.3 1
10881810 22.7  9.6 22.7 1
10904520 65.4 12.9 12.9 2
10909816 32.3 14.1 32.3 1
10910197 75.0 15.0  6.9 2
10916563 72.4 17.6  6.9 2
10924652 79.8 10.2  4.5 2
10931578 42.1 13.9 13.9 3
10935377 62.8  9.2  9.2 3
10937071 57.3 11.3 11.3 2
10962756 33.0 14.4 33.0 1
10971897 78.6 11.4  7.0 2
10973397 44.6 10.5 10.5 3
10977146 74.3 15.7  7.0 2
10977979 74.9 15.1  7.0 2
10979458 70.8 19.1  9.2 2
10982591 23.8 10.1 23.8 1
10989961 58.7 11.3 11.3 3
11014947 74.9 15.1  6.2 2
11020211 19.0  8.0 19.0 1
11033420 74.8 15.2  7.4 2
11038809 45.3 16.8 16.8 3
11043940 66.6 23.4  7.2 2
11068380 77.1 12.9  8.1 2
11083613 76.9 13.1  6.4 2
11086949 15.1  6.3 15.1 1
11087371 17.8  7.5 17.8 1
11090674 53.0 22.0 22.0 3
11091445 53.5 11.7 11.7 3
11097752 63.6 13.3 13.3 2
11122147 61.9  8.2  8.2 3
11127815 70.9 19.1  6.2 2
11129191 72.0 18.0  5.4 2
11136578 25.4 10.8 25.4 1
11140680 72.4 17.6  6.6 2
11176222 26.8 11.5 26.8 1
11189239 21.8  9.2 21.8 1
11190768 60.0 10.5 10.5 3
11196317 64.7 25.3 11.3 2
11241658 64.5 25.5  8.1 2
11245496 66.0  8.7  8.7 3
11251622 73.2 16.8  4.9 2
11285650 65.5 24.5  7.7 2
11287949 74.5 15.5  8.8 2
11349180 78.6 11.4  5.0 2
11349490 75.7  5.8  5.8 2
11353313 71.0  9.7  9.7 2
11358231 74.0 15.9  6.8 2
11358669 58.0 12.6 12.6 3
11361765 49.3 11.5 11.5 3
11391750 28.0 12.0 28.0 1
11404111 44.7 16.8 16.8 3
11404149 58.9 12.6 12.6 3
11404803 68.6 21.4  6.7 2
11413393 59.9  9.5  9.5 3
11453225 71.5 18.5  8.2 2
11465165 42.1  8.4  8.4 2
11465618 57.9 13.9 13.9 2
11466403 50.0 16.3 16.3 3
11468053 36.4 16.1 36.4 1
11496193 66.6 23.4  6.7 2
11502036 35.5 10.4 10.4 3
11507936 67.0 23.0  7.6 2
11515377 47.1 15.2 15.2 3
11518457 27.9 12.0 27.9 1
11520578 21.3  9.0 21.3 1
11521653 72.6 17.4  5.0 2
11546972 27.1 11.6 27.1 1
11550492 57.1 10.9 10.9 3
11560657 42.9 15.6 15.6 3
11561379 68.7  7.8  7.8 2
11564024 72.5 17.4  4.9 2
11565903 26.4 11.3 26.4 1
11567392 77.6 12.4  8.2 2
11570886 24.2 10.3 24.2 1
11571423 61.1  6.7  6.7 3
11600255 43.8 11.0 11.0 3
11601276 48.4 12.0 12.0 3
11602793 70.2 10.0 10.0 2
11606451 66.5 23.5  7.5 2
11612135 68.0 22.0  8.1 2
11618103 49.1 11.4 11.4 3
11619730 67.5 22.6  8.8 2
11623897 36.7 16.2 36.7 1
11623942 58.7 31.3  8.9 2
11650682 68.5 21.5  5.5 2
11655827 34.1 14.9 34.1 1
11657118 69.1 20.9  7.2 2
11658986 66.0  7.8  7.8 3
11667630 66.0  9.6  9.6 2
11671578 70.9 19.1  7.3 2
11673754 72.8 10.7 10.7 2
11703582 39.5 17.6 39.5 1
11708457 51.0  7.4  7.4 2
11718486 61.3 10.6 10.6 3
11723893 67.3 22.7  8.0 2
11771561 71.5  9.7  9.7 2
11802908 68.0 22.0  7.9 2
11810798 28.9 12.5 28.9 1
11819928 73.7 16.3  6.0 2
11821135 72.8 17.2  8.5 2
11824817 52.4 20.7 20.7 3
11868163 69.9 20.1  7.7 2
11905840 49.7  9.0  9.0 3
11911929 47.3 10.7 10.7 3
11912315 45.5 10.4 10.4 3
11913545 75.4 14.6  3.6 2
11957192 33.6 14.7 33.6 1
11958976 66.5 23.6 11.7 2
11960195 57.9 10.5 10.5 3
11960363 33.0 14.3 33.0 1
11968334 54.0 14.3 14.3 3
11975173 70.7 19.3  8.6 2
12007304 66.5  9.7  9.7 3
12008916 70.6 19.4  6.5 2
12012511 40.1 13.5 13.5 3
12017829 30.3 13.1 30.3 1
12018555 63.7 17.6 17.6 3
12021069 40.0 18.0 18.0 3
12024640 61.3 14.6 14.6 3
12058143 63.6 26.4  8.1 2
12059823 27.9 12.0 27.9 1
12060254 38.1 16.9 38.1 1
12062344 46.5 15.0 15.0 3
12115227 53.5 10.0 10.0 3
12115374 80.8  9.2  4.7 2
12153274 66.5 23.5  7.3 2
12154686 74.1 15.9  5.3 2
12155459 82.1  7.9  2.7 2
12165692 66.4 23.6  9.0 2
12166563 67.2 22.8  5.1 2
12170173 23.5 10.0 23.5 1
12203243 20.9  8.8 20.9 1
12206812 76.1 13.9  5.3 2
12207840 68.2 21.8  7.6 2
12216433 73.6 16.4  6.4 2
12216750 69.2  9.4  9.4 2
12218634 40.7 14.8 14.8 3
12257306 72.2 17.8  8.0 2
12402804 40.5 18.1 40.5 1
12403474 66.5 23.5 11.0 2
12406960 30.8 13.3 30.8 1
12456237 66.7 23.3  6.5 2
12457926 76.5 13.6  5.9 2
12505707 51.0 14.6 14.6 3
12506511 66.3  9.4  9.4 2
12506768 78.1 11.9  7.9 2
12507577 74.0 16.1  8.8 2
12554556 43.6 11.9 11.9 3
12557207 31.0 13.4 31.0 1
12601771 33.6 17.8 17.8 3
12834442 75.4 14.6  4.9 2
12885196 71.6 18.4  7.9 2

