frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,convergence,height,AIC,n,l
129.6198838871299,0.45200081665672165,NA,0.0016723122199268693,0.2539764187944063,NA,0,8.076605300465042,7.735290450040338,NA,NA
130.05775187591667,0.38185085737285196,NA,0.002099710483739268,0.16883282830742077,NA,0,5.764185662216538,2.154220927688584,NA,NA
136.3094971381277,0.508353126167865,0.0424674395978084,0.026033902302294378,0.10246018001104105,0.022518154455783767,0,1.9369796000632977,10.757161080473452,NA,NA
136.53892035569464,0.356380981799874,0.0020129811833839995,0.002316351323826462,0.1932295515457039,0.0022323434253400066,0,20.08350237224911,8.722353763027058,NA,NA
137.14959154372602,0.49353983832113746,NA,0.003070578446197202,0.272463768907668,NA,0,9.629302934248875,2.947307645874389,NA,NA
137.20072531295426,0.5097522149976156,0.023019953191631946,0.013611193092336446,0.1144301906479279,0.015707561732751646,0,3.5930555717049604,15.38217692377657,NA,NA
137.31476194838712,0.4068579182215112,0.007760196012328411,0.006473037807227774,0.117249814738092,0.0069036200940227836,0,6.789893797304551,8.359663099759928,NA,NA
137.58911159022955,0.5310360931692242,NA,0.0017721240192174702,0.24340488531384413,NA,0,11.148039546127777,9.927815194896539,NA,NA
139.757257842961,0.353993289959661,NA,0.002307970934733024,0.21275651913043944,NA,0,4.953822947165326,2.3315097436498036,NA,NA
140.4939097932698,0.5607994434550603,NA,0.0015737186451143666,0.24081506370095673,NA,0,12.432703272931363,7.227869740854658,NA,NA
141.95543283834795,0.5091514472872238,NA,0.002007690732858673,0.27943177628350663,NA,0,10.248124336948067,11.643247451404022,NA,NA
144.4917869765547,0.3590082262072903,NA,0.002323053563590181,0.2147978388848665,NA,0,5.095176357373512,2.569295775381761,NA,NA
146.73022638804505,0.39978528764853644,NA,0.003502188725238252,0.232290275340778,NA,0,6.318355187886731,4.607267355793738,NA,NA
146.91618950472028,0.31397124349331546,0.006332096707363476,0.007634354350092618,0.10322592725078641,0.004729499329135528,0,4.955441280490495,4.519455699792161,NA,NA
149.1820079659576,0.4734000219036739,NA,0.0017068304416618055,0.21388447236742492,NA,0,8.859454214798335,3.7992696735527716,NA,NA
149.81203696396594,0.7225335553830919,NA,0.0014651715795616187,0.3110572729726194,NA,0,20.637945577250424,24.709181908398023,NA,NA
149.88152923570118,0.39691007972501496,0.0020129811833839995,0.0022507237414815156,0.22202988489661704,0.0022384867746734205,0,24.9112011400245,11.57255200272266,NA,NA
150.04462047127845,0.8164939005658194,NA,0.0012877257221345737,0.3229063162709002,NA,0,26.354592792112165,25.47075728773416,NA,NA
150.21320964495308,0.529789637824987,0.010336677633793968,0.006133720722181029,0.13692055015838575,0.010481237200672868,0,8.643230087903662,27.3487886356088,NA,NA
150.28851042344442,0.5075100097704864,0.004235777598851402,0.0040616540618348355,0.15820425779118588,0.0030753629773310484,0,19.355580585625358,30.32297650138935,NA,NA
150.8977556947776,0.6471515804310062,0.030524966014708492,0.017359555564657125,0.11343319594477677,0.015409716009221551,0,4.367239108876573,24.514850138690235,NA,NA
151.06101402700457,0.5780964997611212,0.035006554323303074,0.02166999782937598,0.11325329406382158,0.017711409448256346,0,3.0387952681856163,14.071253045305639,NA,NA
151.33541413369352,0.8428744116747456,0.02111243144232645,0.008923576536428215,0.12837823279492458,0.008596009580504207,0,10.711187311589077,81.38555690791691,NA,NA
152.21358153520802,0.37220066891793896,NA,0.002339869455242247,0.2207065632684802,NA,0,5.476520520568705,3.0953093600837747,NA,NA
152.68620657141528,0.40067834883172776,0.009137926182796635,0.007020620749960321,0.10874761317441926,0.007026160951460113,0,5.592348564788796,11.371661138986383,NA,NA
153.5582563392236,0.3971501595693568,NA,0.00215739298427212,0.23058792531297853,NA,0,6.235336609189059,4.470249354217231,NA,NA
